"","Individual","Plotno"
"1","ALNINC_GR_1",1
"2","ALNINC_HF_1",1
"3","ALNINC_WM_2",1
"4","ALNINC_WM_2",1
"5","ALNINC_WM_5",1
"6","BETALL_GR_10",1
"7","BETALL_GR_12",1
"8","BETALL_WM_8",1
"9","BETPAP_GR_5",1
"10","BETPAP_SH_1",1
"11","BETPAP_SH_1",1
"12","BETPOP_GR_5",1
"13","BETPOP_HF_3",1
"14","BETPOP_WM_8",1
"15","ACEPEN_HF_12",2
"16","ACEPEN_HF_12",2
"17","ACEPEN_WM_5",2
"18","ALNINC_HF_9",2
"19","ALNINC_SH_4",2
"20","ALNINC_SH_5",2
"21","ALNINC_WM_5",2
"22","ALNINC_WM_5",2
"23","AMECAN_GR_10",2
"24","AMECAN_WM_1",2
"25","BETALL_GR_13",2
"26","BETPAP_GR_5",2
"27","BETPAP_GR_5",2
"28","BETPOP_HF_1",2
"29","BETPOP_HF_5",2
"30","BETPOP_WM_8",2
"31","ACEPEN_HF_12",3
"32","ALNINC_GR_1",3
"33","ALNINC_GR_1",3
"34","ALNINC_GR_8",3
"35","ALNINC_WM_1",3
"36","AMECAN_GR_10",3
"37","AMECAN_GR_10",3
"38","BETALL_GR_12",3
"39","BETALL_GR_13",3
"40","BETALL_GR_9",3
"41","BETALL_SH_4",3
"42","BETPOP_GR_5",3
"43","BETPOP_GR_5",3
"44","BETPOP_WM_8",3
"45","AROMEL_HF_4",4
"46","AROMEL_WM_2",4
"47","AROMEL_WM_3",4
"48","AROMEL_WM_5",4
"49","AROMEL_WM_7",4
"50","MYRGAL_SH_1",4
"51","MYRGAL_SH_1",4
"52","MYRGAL_SH_2",4
"53","MYRGAL_SH_2",4
"54","MYRGAL_WM_6",4
"55","MYRGAL_WM_6",4
"56","SPIALB_GR_12",4
"57","SPIALB_GR_3",4
"58","SPIALB_GR_7",4
"59","SPIALB_HF_1",4
"60","SPIALB_HF_4",4
"61","SPIALB_HF_8",4
"62","SPITOM_WM_5",4
"63","SPITOM_WM_5",4
"64","SPITOM_WM_5",4
"65","SPITOM_WM_5",4
"66","SPITOM_WM_5",4
"67","VIBCAS_SH_5",4
"68","VIBCAS_WM_4",4
"69","VIBCAS_GR_10",4
"70","VIBCAS_GR_10",4
"71","VIBCAS_GR_10",4
"72","VIBCAS_GR_12",4
"73","VIBCAS_SH_1",4
"74","ACEPEN_HF_12",5
"75","ACEPEN_WM_5",5
"76","ALNINC_GR_8",5
"77","ALNINC_GR_8",5
"78","ALNINC_SH_6",5
"79","AMECAN_GR_10",5
"80","AMECAN_GR_10",5
"81","AMECAN_SH_4",5
"82","BETALL_WM_8",5
"83","BETALL_WM_8",5
"84","BETALL_WM_9",5
"85","ACEPEN_HF_12",6
"86","ACEPEN_WM_6",6
"87","ALNINC_HF_6",6
"88","AMECAN_GR_10",6
"89","AMECAN_SH_2",6
"90","AMECAN_SH_4",6
"91","BETALL_SH_5",6
"92","BETALL_SH_9",6
"93","BETPOP_GR_5",6
"94","BETPOP_HF_3",6
"95","BETPOP_HF_5",6
"96","BETPOP_WM_8",6
"97","ACESPI_GR_4",7
"98","ACESPI_GR_6",7
"99","ACESPI_GR_8",7
"100","ACESPI_SH_2",7
"101","ACESPI_WM_5",7
"102","DIELON_GR_5",7
"103","DIELON_GR_5",7
"104","DIELON_GR_5",7
"105","DIELON_HF_1",7
"106","DIELON_HF_3",7
"107","DIELON_SH_4",7
"108","SAMRAC_GR_4",7
"109","SAMRAC_GR_7",7
"110","SAMRAC_GR_9",7
"111","SORAME_GR_9",7
"112","SORAME_GR_9",7
"113","SORAME_GR_9",7
"114","SORAME_GR_9",7
"115","SORAME_SH_1",7
"116","AROMEL_HF_10",8
"117","AROMEL_HF_4",8
"118","AROMEL_WM_7",8
"119","MYRGAL_HF_9",8
"120","MYRGAL_SH_1",8
"121","MYRGAL_SH_2",8
"122","MYRGAL_WM_6",8
"123","MYRGAL_WM_6",8
"124","SPIALB_GR_12",8
"125","SPIALB_GR_4",8
"126","SPIALB_GR_7",8
"127","SPIALB_HF_2",8
"128","SPIALB_HF_3",8
"129","SPITOM_GR_2",8
"130","SPITOM_GR_2",8
"131","SPITOM_HF_13",8
"132","SPITOM_HF_4",8
"133","SPITOM_HF_6",8
"134","SPITOM_HF_9",8
"135","SPITOM_WM_4",8
"136","VIBCAS_GR_12",8
"137","VIBCAS_GR_12",8
"138","VIBCAS_SH_1",8
"139","VIBCAS_SH_5",8
"140","VIBCAS_SH_5",8
"141","VIBCAS_SH_5",8
"142","VIBCAS_WM_4",8
"143","VIBCAS_WM_9",8
"144","VIBCAS_WM_9",8
"145","ACEPEN_WM_5",9
"146","ACEPEN_WM_6",9
"147","ALNINC_HF_6",9
"148","ALNINC_SH_8",9
"149","BETALL_SH_4",9
"150","BETALL_SH_4",9
"151","BETALL_SH_4",9
"152","BETALL_WM_8",9
"153","BETALL_WM_9",9
"154","BETPAP_SH_1",9
"155","BETPOP_HF_4",9
"156","BETPOP_WM_8",9
"157","ACESPI_SH_2",10
"158","ACESPI_SH_2",10
"159","DIELON_GR_8",10
"160","DIELON_GR_8",10
"161","DIELON_HF_1",10
"162","DIELON_SH_2",10
"163","DIELON_SH_4",10
"164","DIELON_SH_4",10
"165","SAMRAC_GR_4",10
"166","SAMRAC_GR_7",10
"167","SAMRAC_GR_9",10
"168","SAMRAC_HF",10
"169","SAMRAC_HF",10
"170","SORAME_GR_9",10
"171","SORAME_GR_9",10
"172","SORAME_SH_1",10
"173","SORAME_SH_1",10
"174","SORAME_SH_1",10
"175","AROMEL_HF_10",11
"176","AROMEL_HF_8",11
"177","AROMEL_HF_8",11
"178","AROMEL_WM_5",11
"179","MYRGAL_WM_6",11
"180","SPIALB_HF_10",11
"181","SPITOM_HF_5",11
"182","SPITOM_HF_6",11
"183","VIBCAS_WM_4",11
"184","VIBCAS_WM_9",11
"185","ACEPEN_HF_12",12
"186","ACEPEN_WM_5",12
"187","ALNINC_HF_8",12
"188","ALNINC_SH_6",12
"189","BETPOP_GR_5",12
"190","BETPOP_GR_5",12
"191","DIELON_GR_8",13
"192","DIELON_HF_1",13
"193","DIELON_HF_2",13
"194","DIELON_HF_2",13
"195","DIELON_SH_2",13
"196","DIELON_SH_2",13
"197","SAMRAC_HF",13
"198","SAMRAC_HF",13
"199","SAMRAC_HF",13
"200","SAMRAC_HF",13
"201","SORAME_SH_1",13
"202","SORAME_SH_1",13
"203","ALNINC_HF_9",15
"204","ALNINC_SH_7",15
"205","BETPOP_WM_8",15
