id,area,perim,species,site,plot,ind,leaf,wet.wt,dr.wt
SPIALB_GR_9_2,7.194,13.598,SPIALB,GR,8,9,2,0.076,0.02883
SPIALB_GR_12_1,3.581,9.046,SPIALB,GR,4,12,1,0.03162,0.01114
SPIALB_GR_12_2,5.744,12.008,SPIALB,GR,4,12,2,0.0602,0.01711
SPIALB_GR_12A_1,6.464,11.975,SPIALB,GR,8,12A,1,0.0647,0.02081
SPIALB_GR_12A_2,6.444,11.838,SPIALB,GR,8,12A,2,0.0703,0.02006
SPIALB_GR_12B_1,7.312,13.012,SPIALB,GR,8,12B,1,0.0697,0.02265
SPIALB_GR_12B_2,5.749,12.139,SPIALB,GR,8,12B,2,0.0544,0.01715
SPIALB_HF_1_1,8.727,14.909,SPIALB,HF,4,1,1,0.08915,0.02561
SPIALB_HF_1_2,8.965,14.942,SPIALB,HF,4,1,2,0.08366,0.02312
SPIALB_HF_2_1,4.949,10.671,SPIALB,HF,8,2,1,0.0556,0.02289
SPIALB_HF_2_2,7.862,14.334,SPIALB,HF,8,2,2,0.0764,0.02353
SPIALB_HF_3_1,5.931,14.173,SPIALB,HF,8,3,1,0.06994,0.01884
SPIALB_HF_3_2,7.466,15.154,SPIALB,HF,8,3,2,0.08457,0.02215
SPIALB_HF_4_1,2.892,8.173,SPIALB,HF,4,4,1,0.02828,0.01084
SPIALB_HF_4_2,5.534,12.655,SPIALB,HF,4,4,2,0.05246,0.01366
SPIALB_HF_4A_1,5.405,13.05,SPIALB,HF,11,4A,1,0.06447,0.01912
SPIALB_HF_4A_2,7.801,15.897,SPIALB,HF,11,4A,2,0.098,0.03076
SPIALB_HF_4B_1,3.178,9.508,SPIALB,HF,11,4B,1,0.03207,0.01422
SPIALB_HF_4B_2,3.961,11.301,SPIALB,HF,11,4B,2,0.04888,0.01596
SPIALB_HF_8_1,8.378,15.345,SPIALB,HF,4,8,1,0.08407,0.02776
SPIALB_HF_8_2,9.485,16.172,SPIALB,HF,4,8,2,0.10272,0.03475
SPIALB_HF_10_1,4.604,11.977,SPIALB,HF,11,10,1,0.04401,0.01502
SPIALB_HF_10_2,6.252,13.447,SPIALB,HF,11,10,2,0.0552,0.01703
SPIALB_SH_1_1,7.163,13.597,SPIALB,SH,4,1,1,0.07829,0.02394
SPIALB_SH_1_2,7.163,13.632,SPIALB,SH,4,1,2,0.07408,0.02131
SPIALB_SH_4A_1,7.22,12.957,SPIALB,SH,4,4A,1,0.06503,0.0215
SPIALB_SH_4A_2,8.152,13.744,SPIALB,SH,4,4A,2,0.07795,0.02574
SPIALB_SH_4B_1,4.25,11.485,SPIALB,SH,4,4B,1,0.04434,0.01359
SPIALB_SH_4B_2,4.296,12.134,SPIALB,SH,4,4B,2,0.04598,0.01449
SPIALB_SH_7_1,9.002,15.91,SPIALB,SH,4,7,1,0.08667,0.02379
SPIALB_SH_7_2,9.826,16.659,SPIALB,SH,4,7,2,0.0952,0.02763
SPIALB_SH_7A_1,7.271,15.624,SPIALB,SH,8,7A,1,0.0808,0.02061
SPIALB_SH_7A_2,8.496,16.852,SPIALB,SH,8,7A,2,0.0957,0.02679
SPIALB_SH_7B_1,5.484,12.304,SPIALB,SH,8,7B,1,0.0589,0.02106
SPIALB_SH_7B_2,5.57,12.689,SPIALB,SH,8,7B,2,0.06,0.02092
SPIALB_SH_8_1,6.218,15.282,SPIALB,SH,4,8,1,0.0605,0.01644
SPIALB_SH_8_2,7.006,16.772,SPIALB,SH,4,8,2,0.07204,0.01969
SPIALB_SH_9A_1,6.162,14.124,SPIALB,SH,4,9A,1,0.0584,0.01484
SPIALB_SH_9A_2,7.131,15.371,SPIALB,SH,4,9A,2,0.0706,0.01939
SPIALB_SH_9B_1,4.872,10.875,SPIALB,SH,4,9B,1,0.0544,0.01805
SPIALB_SH_9B_2,7.621,14.732,SPIALB,SH,4,9B,2,0.07661,0.02067
SPIALB_WM_2A_1,6.818,14.234,SPIALB,WM,4,2A,1,0.06396,0.01487
SPIALB_WM_2A_2,8.036,13.963,SPIALB,WM,4,2A,2,0.08518,0.0255
SPIALB_WM_2A_1,3.28,8.779,SPIALB,WM,11,2A,1,0.03763,0.01129
SPIALB_WM_2A_2,2.884,8.046,SPIALB,WM,11,2A,2,0.03291,0.01006
SPIALB_WM_2B_1,4.951,13.711,SPIALB,WM,4,2B,1,0.0474,0.01076
SPIALB_WM_2B_2,5.87,13.433,SPIALB,WM,4,2B,2,0.0535,0.01429
SPIALB_WM_4A_1,6.334,12.516,SPIALB,WM,11,4A,1,0.07777,0.02662
SPIALB_WM_4A_2,8.057,14.155,SPIALB,WM,11,4A,2,0.10082,0.03668
SPIALB_WM_4B_1,5.926,12.419,SPIALB,WM,11,4B,1,0.0737,0.02573
SPIALB_WM_4B_2,7.312,13.22,SPIALB,WM,11,4B,2,0.08185,0.02908
SPIALB_WM_4C_1,6.32,12.97,SPIALB,WM,11,4C,1,0.06927,0.02454
SPIALB_WM_4C_2,8.116,14.356,SPIALB,WM,11,4C,2,0.08925,0.03057
SPIALB_WM_5_1,6.831,14.521,SPIALB,WM,11,5,1,0.07202,0.02311
SPIALB_WM_5_2,6.682,15.249,SPIALB,WM,11,5,2,0.06627,0.02084
SPIALB_WM_7A_1,9.241,15.54,SPIALB,WM,4,7A,1,0.10165,0.02789
SPIALB_WM_7A_2,8.999,16.149,SPIALB,WM,4,7A,2,0.09583,0.02665
SPIALB_WM_7A_1,9.547,16.451,SPIALB,WM,8,7A,1,0.0976,0.02739
SPIALB_WM_7A_2,6.939,13.222,SPIALB,WM,8,7A,2,0.0609,0.01811
SPIALB_WM_7B_1,6.959,13.627,SPIALB,WM,4,7B,1,0.07523,0.02354
SPIALB_WM_7B_2,6.999,14.581,SPIALB,WM,4,7B,2,0.07431,0.02146
SPIALB_WM_7B_1,3.759,12.124,SPIALB,WM,8,7B,1,0.0406,0.0113
SPIALB_WM_7B_2,6.251,13.714,SPIALB,WM,8,7B,2,0.0733,0.02128
SPITOM_GR_1_1,4.33,9.282,SPITOM,GR,8,1,1,0.058,0.02022
SPITOM_GR_1_2,2.04,6.244,SPITOM,GR,8,1,2,0.0205,0.00799
SPITOM_GR_1A_1,3.159,8.246,SPITOM,GR,11,1A,1,0.04253,0.01635
SPITOM_GR_1A_2,8.587,13.75,SPITOM,GR,11,1A,2,0.1069,0.03671
SPITOM_GR_1B_1,4.232,9.563,SPITOM,GR,11,1B,1,0.05284,0.01843
SPITOM_GR_1B_2,3.991,9.015,SPITOM,GR,11,1B,2,0.0587,0.02078
SPITOM_GR_2B_1,1.582,5.419,SPITOM,GR,8,2B,1,0.014,0.00512
SPITOM_GR_2B_2,3.613,8.361,SPITOM,GR,8,2B,2,NA,NA
SPITOM_GR_2C_1,4.609,10.09,SPITOM,GR,8,2C,1,0.0516,0.01791
SPITOM_GR_2C_2,4.759,9.915,SPITOM,GR,8,2C,2,0.0553,0.01182
SPITOM_GR_2D_1,3.867,10.83,SPITOM,GR,8,2D,1,0.0471,0.01727
SPITOM_GR_2D_2,2.922,8.137,SPITOM,GR,8,2D,2,0.0323,0.01189
SPITOM_GR_2E_1,4.394,9.241,SPITOM,GR,8,2E,1,0.0473,0.01721
SPITOM_GR_2E_2,3.044,7.827,SPITOM,GR,8,2E,2,0.0345,0.01878
SPITOM_HF_5_1,1.441,5.109,SPITOM,HF,11,5,1,0.01624,0.00663
SPITOM_HF_5_2,1.495,5.304,SPITOM,HF,11,5,2,0.01882,0.0066
SPITOM_HF_6_1,2.403,6.82,SPITOM,HF,11,6,1,0.03083,0.01202
SPITOM_HF_6_2,4.969,10.119,SPITOM,HF,11,6,2,0.0638,0.020104
SPITOM_HF_6A_2,6.297,11.2,SPITOM,HF,8,6A,2,0.0684,0.02324
SPITOM_HF_6A_1,2.281,6.687,SPITOM,HF,8,6A,1,0.0253,0.00961
SPITOM_HF_9A_1,2.797,7.211,SPITOM,HF,8,9A,1,0.0322,0.01192
SPITOM_HF_9A_2,5.126,10.675,SPITOM,HF,8,9A,2,0.0606,0.01877
SPITOM_HF_9B_1,1.962,6.332,SPITOM,HF,8,9B,1,0.0236,0.00754
SPITOM_HF_9B_2,6.055,10.957,SPITOM,HF,8,9B,2,0.0687,0.02237
SPITOM_HF_13_1,3.957,8.727,SPITOM,HF,8,13,1,0.0408,0.01468
SPITOM_HF_13_2,3.923,8.97,SPITOM,HF,8,13,2,0.0453,0.01559
SPITOM_SH_9_1,3.951,9.077,SPITOM,SH,4,9,1,0.03517,0.01142
SPITOM_SH_9_2,5.012,10.409,SPITOM,SH,4,9,2,0.05383,0.01631
SPITOM_SH_99_1,2.492,7.098,SPITOM,SH,4,99,1,0.02452,0.00855
SPITOM_SH_99_2,2.882,7.646,SPITOM,SH,4,99,2,0.0293,0.00951
SPITOM_SH_99F_1,1.216,5.041,SPITOM,SH,11,99F,1,0.01188,0.00514
SPITOM_SH_99F_2,4.554,9.92,SPITOM,SH,11,99F,2,0.053,0.0197
SPITOM_SH_99B_1,3.062,8.341,SPITOM,SH,11,99B,1,0.03545,0.01251
SPITOM_SH_99B_2,3.87,9.297,SPITOM,SH,11,99B,2,0.05065,0.01743
SPITOM_SH_99C_1,1.156,4.72,SPITOM,SH,11,99C,1,0.01389,0.00621
SPITOM_SH_99C_2,4.119,9.513,SPITOM,SH,11,99C,2,0.05509,0.02164
SPITOM_SH_99D_2,3.747,9.07,SPITOM,SH,11,99D,2,0.04894,0.01845
SPITOM_SH_99D_1,1.332,5.382,SPITOM,SH,11,99D,1,0.01764,0.00764
SPITOM_SH_99E_1,2.959,8.54,SPITOM,SH,11,99E,1,0.3981,0.01393
SPITOM_SH_99E_2,3.811,9.137,SPITOM,SH,11,99E,2,0.04633,0.0166
SPITOM_WM_4A_1,2.149,6.291,SPITOM,WM,8,4A,1,0.0191,0.00751
SPITOM_WM_4A_2,3.523,8.277,SPITOM,WM,8,4A,2,0.0362,0.01222
SPITOM_WM_4B_1,1.738,5.726,SPITOM,WM,8,4B,1,0.0152,0.00724
SPITOM_WM_4B_2,2.397,7.087,SPITOM,WM,8,4B,2,0.0233,0.01041
SPITOM_WM_5_1,4.642,9.874,SPITOM,WM,8,5,1,0.0495,0.01604
SPITOM_WM_5_2,5.772,10.263,SPITOM,WM,8,5,2,0.0682,0.02443
SPITOM_WM_5A_1,7.221,11.828,SPITOM,WM,4,5A,1,0.11504,0.02676
SPITOM_WM_5A_2,14.031,15.526,SPITOM,WM,4,5A,2,0.1974,0.05274
SPITOM_WM_5B_1,7.105,11.902,SPITOM,WM,4,5B,1,0.07713,0.02049
SPITOM_WM_5B_2,9.041,13.972,SPITOM,WM,4,5B,2,0.08937,0.02414
SPITOM_WM_5C_1,4.996,12.42,SPITOM,WM,4,5C,1,0.05559,0.01818
SPITOM_WM_5C_2,5.648,10.349,SPITOM,WM,4,5C,2,0.06102,0.01924
SPITOM_WM_5D_1,2.008,5.809,SPITOM,WM,4,5D,1,0.01836,0.00722
SPITOM_WM_5D_2,2.956,7.182,SPITOM,WM,4,5D,2,0.03265,0.01217
SPITOM_WM_5E_1,3.198,8.055,SPITOM,WM,4,5E,1,0.03536,0.0115
SPITOM_WM_5E_2,3.572,8.467,SPITOM,WM,4,5E,2,0.04288,0.01354
VACMYR_GR_10C_1,1.465,5.563,VACMYR,GR,13,10C,1,0.02022,0.00794
VACMYR_GR_10C_2,2.438,6.93,VACMYR,GR,13,10C,2,0.03652,0.01419
VACMYR_GR_10A_1,1.749,5.881,VACMYR,GR,13,10A,1,0.02723,0.01164
VACMYR_GR_10A_2,1.823,5.86,VACMYR,GR,13,10A,2,0.02859,0.01227
VACMYR_GR_10B_1,0.814,3.677,VACMYR,GR,13,10B,1,0.01195,0.00502
VACMYR_GR_10B_2,0.751,4.002,VACMYR,GR,13,10B,2,0.00731,0.0033
VACMYR_WM_5_1,1.797,5.935,VACMYR,WM,13,5,1,0.0173,0.0082
VACMYR_WM_5_2,1.759,6.505,VACMYR,WM,13,5,2,0.02542,0.00774
VIBCAS_GR_3_1,13.381,16.617,VIBCAS,GR,14,3,1,0.2667,0.08682
VIBCAS_GR_3_2,17.036,20.147,VIBCAS,GR,14,3,2,0.32826,0.10729
VIBCAS_GR_5_1,35.668,28.168,VIBCAS,GR,8,5,1,0.757,0.22509
VIBCAS_GR_5_2,25.722,22.23,VIBCAS,GR,8,5,2,0.501,0.1525
VIBCAS_GR_9_1,34.977,26.504,VIBCAS,GR,4,9,1,0.7,0.18048
VIBCAS_GR_9_2,33.316,25.061,VIBCAS,GR,4,9,2,0.696,0.19157
VIBCAS_GR_10_1,21.863,19.227,VIBCAS,GR,4,10,1,0.37664,0.095
VIBCAS_GR_10_2,37.31,25.863,VIBCAS,GR,4,10,2,0.7121,0.20246
VIBCAS_GR_10_1,25.611,22.196,VIBCAS,GR,11,10,1,0.5741,0.19521
VIBCAS_GR_10_2,27.1,22.033,VIBCAS,GR,11,10,2,0.55911,0.19379
VIBCAS_GR_12A_1,41.91,27.705,VIBCAS,GR,4,12A,1,0.778,0.21597
VIBCAS_GR_12A_2,42.098,26.39,VIBCAS,GR,4,12A,2,0.7919,0.21669
VIBCAS_GR_12A_1,30.23,23.217,VIBCAS,GR,8,12A,1,0.602,0.18177
VIBCAS_GR_12A_2,33.092,24.328,VIBCAS,GR,8,12A,2,0.678,0.20447
VIBCAS_GR_12B_1,28.506,22.69,VIBCAS,GR,4,12B,1,0.56067,0.13633
VIBCAS_GR_12B_2,35.451,25.965,VIBCAS,GR,4,12B,2,0.7835,0.20746
VIBCAS_GR_12B_1,28.495,22.884,VIBCAS,GR,8,12B,1,0.553,0.15511
VIBCAS_GR_12B_2,39.563,27.903,VIBCAS,GR,8,12B,2,0.921,0.30923
VIBCAS_HF_7_1,22.167,19.504,VIBCAS,HF,14,7,1,0.42691,0.1432
VIBCAS_HF_7_2,28.415,22.209,VIBCAS,HF,14,7,2,0.58216,0.19453
VIBCAS_SH_1_1,34.533,24.295,VIBCAS,SH,4,1,1,0.642,0.16854
VIBCAS_SH_1_2,38.513,26.226,VIBCAS,SH,4,1,2,0.77355,0.21546
VIBCAS_SH_1A_1,11.624,14.477,VIBCAS,SH,8,1A,1,0.226,0.06689
VIBCAS_SH_1A_2,16.882,17.594,VIBCAS,SH,8,1A,2,0.308,0.09502
VIBCAS_SH_1B_1,20.817,18.303,VIBCAS,SH,8,1B,1,0.409,0.11972
VIBCAS_SH_1B_2,42.081,27.453,VIBCAS,SH,8,1B,2,0.771,0.21859
VIBCAS_SH_5_1,21.581,20.032,VIBCAS,SH,4,5,1,0.49186,0.14452
VIBCAS_SH_5_2,41.66,26.774,VIBCAS,SH,4,5,2,0.9289,0.26003
VIBCAS_SH_5A_1,25.641,20.339,VIBCAS,SH,8,5A,1,0.6156,0.19815
VIBCAS_SH_5A_2,19.473,18.861,VIBCAS,SH,8,5A,2,0.5121,0.16063
VIBCAS_SH_5B_1,39.141,27.994,VIBCAS,SH,8,5B,1,0.816,0.23558
VIBCAS_SH_5B_2,31.444,24.02,VIBCAS,SH,8,5B,2,0.646,0.18911
VIBCAS_SH_5C_1,30.797,23.888,VIBCAS,SH,8,5C,1,0.667,0.22732
VIBCAS_SH_5C_2,25.668,21.125,VIBCAS,SH,8,5C,2,0.5224,0.17918
VIBCAS_SH_9_1,8.827,11.919,VIBCAS,SH,11,9,1,0.16391,0.0546
VIBCAS_SH_9_2,14.754,16.325,VIBCAS,SH,11,9,2,0.29033,0.09351
VIBCAS_WM_4_1,24.272,21.584,VIBCAS,WM,4,4,1,0.41489,0.09404
VIBCAS_WM_4_2,35.397,24.69,VIBCAS,WM,4,4,2,0.756,0.18326
VIBCAS_WM_4_1,34.295,27.158,VIBCAS,WM,8,4,1,0.736,0.22477
VIBCAS_WM_4_2,37.178,29.595,VIBCAS,WM,8,4,2,0.75,0.21347
VIBCAS_WM_4_1,19.787,19.27,VIBCAS,WM,11,4,1,0.40227,0.12838
VIBCAS_WM_4_2,22.396,19.148,VIBCAS,WM,11,4,2,0.496,0.17587
VIBCAS_WM_7_1,5.076,9.347,VIBCAS,WM,14,7,1,0.08555,0.02604
VIBCAS_WM_7_2,6.699,10.963,VIBCAS,WM,14,7,2,0.11147,0.03685
VIBCAS_WM_9A_1,25.107,20.99,VIBCAS,WM,8,9A,1,0.5203,0.16157
VIBCAS_WM_9A_2,31.551,25.014,VIBCAS,WM,8,9A,2,0.6233,0.18174
VIBCAS_WM_9A_1,23.208,20.452,VIBCAS,WM,11,9A,1,0.4554,0.13957
VIBCAS_WM_9A_2,34.344,24.275,VIBCAS,WM,11,9A,2,0.70539,0.21602
VIBCAS_WM_9B_1,35.028,25.07,VIBCAS,WM,8,9B,1,0.678,0.19822
VIBCAS_WM_9B_2,24.577,19.775,VIBCAS,WM,8,9B,2,0.527,0.15053
VIBCAS_WM_9B_1,17.03,16.995,VIBCAS,WM,11,9B,1,0.3785,0.11508
VIBCAS_WM_9B_2,21.089,19.627,VIBCAS,WM,11,9B,2,0.4554,0.14351
VIBCAS_WM_10_1,16.271,18.682,VIBCAS,WM,11,10,1,0.3417,0.11239
VIBCAS_WM_10_2,19.992,18.899,VIBCAS,WM,11,10,2,0.4034,0.13935
QUEALB_HF_4_1,27.346,30.151,QUEALB,HF,15,4,1,0.26497,0.10064
QUEALB_HF_4_2,58.148,43.666,QUEALB,HF,15,4,2,0.66105,0.23146
QUEALB_HF_4A_1,30.031,34.155,QUEALB,HF,16,4A,1,0.3696,0.13178
QUEALB_HF_4A_2,49.412,50.378,QUEALB,HF,16,4A,2,0.5146,0.20727
QUEALB_HF_4B_1,43.78,45.763,QUEALB,HF,16,4B,1,0.52006,0.18093
QUEALB_HF_4B_2,42.621,47.813,QUEALB,HF,16,4B,2,0.4852,0.16672
QUERUB_GR_9_1,55.025,41.543,QUERUB,GR,5,9,1,0.64555,0.28397
QUERUB_GR_9_2,57.586,41.458,QUERUB,GR,5,9,2,0.6999,0.29221
QUERUB_HF_99_1,50.297,44.764,QUERUB,HF,5,99,1,0.5714,0.24195
QUERUB_HF_99_2,90.031,55.465,QUERUB,HF,5,99,2,1.15748,0.52241
SAMRAC_GR_1_1,19.836,57.691,SAMRAC,GR,10,1,1,0.47749,0.12735
SAMRAC_GR_1_2,13.512,55.482,SAMRAC,GR,10,1,2,0.3829,0.08512
SAMRAC_GR_4_1,30.955,72.109,SAMRAC,GR,14,4,1,0.4854,0.14152
SAMRAC_GR_2_2,167.654,154.592,SAMRAC,GR,7,2,2,3.22,0.71946
SAMRAC_GR_2_1,86.336,87.174,SAMRAC,GR,7,2,1,1.443,0.33617
SAMRAC_GR_4_2,13.774,50.994,SAMRAC,GR,14,4,2,0.27033,0.07825
SAMRAC_GR_4_1,141.934,132.586,SAMRAC,GR,7,4,1,2.24,0.53007
SAMRAC_GR_4_2,161.451,135.56,SAMRAC,GR,7,4,2,2.661,0.59028
SAMRAC_GR_7_1,43.487,70.501,SAMRAC,GR,10,7,1,0.8263,0.20003
SAMRAC_GR_7A_1,236.633,158.913,SAMRAC,GR,7,7A,1,3.717,0.88275
SAMRAC_GR_7A_2,206.877,150.521,SAMRAC,GR,7,7A,2,3.17,0.83234