ID,Plot,Phase,3.3.2020,3.9.2020,3.9.2020,3.18.2020,3.25.2020,3.31.2020,4.7.2020,4.9.2020,4.17.2020,4.20.2020,4.23.2020,4.28.2020,5.1.2020,5.7.2020,5.12.2020,5.14.2020,5.22.2020,5.27.2020,6.2.2020,6.5.2020,6.12.2020,6.15.2020,6.23.2020,6.25.2020,7.3.2020,7.6.2020,7.16.2020,7.24.2020,8.1.2020,8.7.2020,8.16.2020,8.28.2020,9.4.2020,9.11.2020,9.19.2020,9.24.2020,10.1.2020,10.8.2020,10.19.2020,10.27.2020,11.6.2020,11.16.2020
BETPAP_GR_5,1,Leaves,,,,,,,,,,,,9,14,18,18,18,18,19,,,,,,,,,,,,,,95,"101, 95","102, 96",97,97,98,98,98,99,,
BETPAP_GR_5,1,Flowers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,,,,,,NA,,,,
ALNINC_SH_1,1,Leaves,,,,,9,9,11,11,13,16,16,17,18,18,18,18,18,18,19,,,,,,,,,,,,,,"100, 92","100, 100m","100, 100m","101, 100m",101m/102,95,97,97,98,99
ALNINC_SH_1,1,Flowers,,,,,,,,,,,,,,,,,,,,,,,,,,,,100m,100m,100m,100m,100m,92,92,93,93,94,102m,,,,
BETPAP_SH_1A,1,Leaves,,,,,,,,,,,,9,12,18,19,,,,,,,,,,,,,,,100,100,100,100,100,100,101,102,"102,91",93,95,96,99
BETPAP_SH_1A,1,Flowers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,
ALNINC_GR_11,1,Leaves,,,,,,9,11,11,15,17,17,18,18,18,18,18,18,18,19,,,,,,,,,,,100,100,"93, 100, 75","100,101m","100,100m","101,101m","102,101m",102m,"102,97",98,98,99,99
ALNINC_GR_11,1,Flowers,61-m,64-m,64-m,68-m,69-m,,,,,,,,,,,,,,,,,,72,72,74,75,75,"100m,75","100m,75",100m,100m,100m,"76,94","77,94","77,95","79,95",97,NA,,,,
BETPOP_WM_7,1,Leaves,,,,,9,9,10,10,12,15,16,17,18,18,19,,,,,,,,,,,,,,,,,,,,,92,92,"102,92",95,97,97,99
BETPOP_WM_7,1,Flowers,,,,,,,,51,,61,63,64,67,67,71,72,72,72,73,73,74,74,74,74,76,76,75,76,78,"79,100m",100m,"100m,100",100/100m,100/100m,100/100m,100/100m,100/101m,102m,,78,79,
BETALL_WM_8,1,Leaves,,,,,,,,,9,9,10,10,11,16,18,18,19,,,,,,,,,,,,,,,,,,,,91,"102,91",91,96,98,99
BETALL_WM_8,1,Flowers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,101,101,102,,NA,,,,
ALNINC_WM_2A,1,Leaves,,,,,,,9,10,12,15,15,16,18,18,18,18,18,18,19,,,,,,,,,,,,100,"93,100",94/77,100/100m,101/101m,102/102m,78/97,98,98,98,99,99
ALNINC_WM_2A,1,Flowers,64-m,67-m; 62-f,67-m; 62-f,68-m; 62-f,69-m; 68-f,68-f,68-f,68-f,68-f,68-f,69-f,,,,,,,73,73,73,74,74,74,74,74,75,75,76/100m,76/100m,76/100m,77/100m,77/100m,100/100m,94/77,77/95,77/95,,79,,79,,
BETPOP_HF_3,1,Leaves,,,,,,,,,9,10,10,11,14,19,19,,,,,,,,,,,,,,,,,,,,,,102/101m,"102,92",94,96,97,99
BETPOP_HF_3,1,Flowers,,,,,,,,,,,61,61,61,67,68,69,,,72,73,74,74,74,74,75,76,76,77,79,100,100,100/100m,100/100m,100/100m,100/100m,100/101m,92,102m,,,,
BETALL_GR_13,1,Leaves,,,,,,,9,9,10,11,11,12,14,19,19,,,,,,,,,,,,,,,,,,,,,,,"102,91",95,98,99,99
BETALL_GR_13,1,Flowers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,101,101,12,91,NA,,,,
ALNINC_WM_5,1,Leaves,,,,,9,9,11,12,14,15,16,17,18,18,18,18,18,19,,,,,,,,,,,,,100,100/100m,100/100m,100/100m,101/101m,101/101m,102/101m,"102,97",97,97,99,99
ALNINC_WM_5,1,Flowers,62-m; 61-f,67-m; 64-f,67-m; 64-f,67-m; 65-f,69-m; 68-f,68-f,68-f,68-f,68-f,69-f,,,,,,71,72,72,72,73,73,74,74,75,75,75,75,76/100m,76/100m,77/100m,78/100m,75,77,77/92,95/77,79/95,97,102m,,,,
ALNINC_WM_1,1,Leaves,,,,,,,,,9,14,14,15,16,17,18,18,19,,,,,,,,,,,,,,100,100/100m,100/100m,100/100m,101/101m,101/101m,102/102m,"102,98",98,98,99,99
ALNINC_WM_1,1,Flowers,62-m; 61-f,67-m; 64-f,67-m; 64-f,68-m; 65-f,68-m; 68-f,68-f,68-f,68-f,69-f,,,,,,,,71,72,73,73,74,74,74,74,75,75,75,76,76/100m,76/100m,76/100m,77/93,95/77,77/95,77/94,78/96,78.96,102m,,,,
ALNINC_HF_2,1,Leaves,,,,,,,,,9,11,12,14,15,17,18,18,19,,,,,,,,,,,,,,,100,100/100m,100/100m,101/101m,102/102m,79,"102,97",97,98,99,99
ALNINC_HF_2,1,Flowers,,61-m,61-m,65-m; 62-f,68-m; 67-f,68-f,68-f,68-f,69-f,,,,,,,71,73,73,73,73,74,74,74,74,75,75,75,75/100m,76/100m,76/100m,77/100m,100m/77,77/92,77/92,78/92,78/93,95,102m,,,,
ALNINC_HF_1,1,Leaves,,,,,,,,,9,11,12,14,15,17,19,,,,,,,,,,,,,,,,,100,100/100m,100/100m,101/100m,101/101m,102/102m,"102,98",98,98,99,99
ALNINC_HF_1,1,Flowers,,62-m; 62-f,62-m; 62-f,63-m; 62-f,69-m; 67-f,69-m; 67-f,68-f,68-f,69-f,,,,,,,,,,,,,,,,,,75,76,76/100m,76/100m,77/100m,77/100m,77/92,77/95,78/93,78/95,"78, 97",102m,,,,
BETALL_GR_12,1,Leaves,,,,,,,9,9,9,11,11,12,15,18,17,18,19,,,,,,,,,,,,,,,,100/100m,101,102,,91,"102,95",95,97,99,99
BETALL_GR_12,1,Flowers,,,,,,,,,,,,,,,,,,,,,,,73,73,76,76,,,,100m,100,100,91,,,,,102m,,,,
BETPOP_GR_5,1,Leaves,,,,,,,,,9,10,10,12,14,17,18,18,19,,,,,,,,,,76,76/100m,77/100m,79/100,100m,100/100m,100/100m,100/100m,101/101m,101/101m,101/101m,"102,93",96,98,99,99
BETPOP_GR_5,1,Flowers,,,,,,,,,,,,,,,,,,,,,,,,,73,74,,,,,,,,,,,92,101m,102m,,,
BETPAP_SH_1B,1,Leaves,,,,,,,,9,9,11,12,13,16,18,18,18,18,19,,,,,,,,,,,,100m,100m/100,100/100m/93,100/93,101/100m,101/101m,102/101m,102m,"102,95",96,97,98,99
BETPAP_SH_1B,1,Flowers,,,,,,,,,,,,,,,,,,71,73,73,73,74,74,75,75,75,,,,,,,,93,94,95,95,102m,,,,
ALNINC_WM_2B,1,Leaves,,,,,,,9,10,12,14,15,16,17,18,17,17,18,19,,,,,,,,,,,,,100,93/77,100/100m,100/100m,101/101m,101/101m,102/101m,"102,94",95,96,98,99
ALNINC_WM_2B,1,Flowers,62-m; 61-f,68-m; 63-f,68-m; 63-f,68-m; 64-f,69-m; 68-f,68-f,68-f,68-f,69-f,,,,,,,,,71,72,73,74,74,74,75,75,75,76,76/100m,76/100m,76/100m,77/100m,100/100m,93/77,93/77,77/94,78/94,"78, 94","102m,78","102m,79",79,,
ALNINC_SH_4,2,Leaves,,,,,,,9,10,12,15,15,16,16,17,17,18,18,18,18,19,,,,,,,,,,,100,100/100m,100/100m,100/101m,101/101m,101/101m,102/102m,"102,95",97,98,99,99
ALNINC_SH_4,2,Flowers,67-m; 62-f,68-m; 64-f,68-m; 64-f,68-m; 64-f,69-m; 68-f,68-f,68-f,68-f,68-f,68-f,69-f,,,,,,,,,,74,75,75,75,75,75,75,76/100m,76/100m,76/100m,78/100m,78,78,78,78,78/91,"79, 92","102m,79",,,,
ALNINC_SH_5,2,Leaves,,,,,,9,10,11,14,15,16,16,17,18,,,,,,,,,,,,,,100,100m,100m,100,100/100m,100/100m,100/100m,101/101m,10/101m,102/102m,"102,97",98,98,99,99
ALNINC_SH_5,2,Flowers,62-m,64-m,64-m,65-m,69-m,,,,,,,,,,,,,,,,,,61,64,68/71,74,75,76/100m,76/100,76/100,77/100m,77/92,77/92,77/93,77/93,77/94,"77, 97","102m,79",,,,
AMECAN_WM_1,2,Leaves,,,,,9,9,11,12,15,18,18,19,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,
AMECAN_WM_1,2,Flowers,,,,,,,,,,,,,,,,,,,,,,,,,,,68/74,68/74,68/74,74,76,76,76,77,77,78,79,79,,,,
BETPAP_GR_5A,2,Leaves,,,,,,,,,,9,9,9,11,18,18,19,,,,,,,,,,,,,,,,,,,,,,"102,91",94,96,97,99
BETPAP_GR_5A,2,Flowers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,101,102,,,102m,,,,
BETALL_GR_13,2,Leaves,,,,,,,,,9,10,11,12,14,18,18,18,19,,,,,,,,,,,,,,100,101,101,102,102,92,92,"102,92",97,98,99,99
BETALL_GR_13,2,Flowers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,
ALNINC_WM_5A,2,Leaves,,,,,,,9,11,12,15,17,17,18,18,18,18,19,,,,,,,,,,,100,76,76/100,77/100m,100/100m,100/100m,100/100m,101/101m,101/101m,102/101m,"102,97",97,97,98,99
ALNINC_WM_5A,2,Flowers,64-m,67-m; 62-f,67-m; 62-f,68-m; 63-f,68-m; 68-f,69-m; 68-f,68-f,68-f,69-f,,,,,,,,,,72,73,74,75,75,75,75,75,75,76/100m,100/100m,100m,100,77,77,77,77/92,78/94,"78, 95","102m,79",,,,
BETPAP_HF_16,2,Leaves,,,,,,,,9,11,14,15,17,18,19,19,,,,,,,,,,,,,,100,,100/100m,100/100m,100/100m,100/100m,101/101m,101/101m,102/102m,102,91,94,95,99
BETPAP_HF_16,2,Flowers,,,,,,,,,,,,,,,,,,,,,,,,,,,74,100m,100m,,,,,,,,,102m,,,,
BETPOP_HF_5,2,Leaves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"102,92",99,99,99,99
BETPOP_HF_5,2,Flowers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102m,,,,
ACEPEN_HF_12,2,Leaves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,
ACEPEN_HF_12,2,Flowers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,
BETPOP_WM_7,2,Leaves,,,,,,,,9,9,10,10,12,14,19,18,19,,,,,,,,,,,,,100,79/100,100m,100/100m,100/100m,100/100m,100/101m,101/101m,102/102m,"102,91",95,96,98,99
BETPOP_WM_7,2,Flowers,,,,,,,,,,61,63,64,64,67,71,71,71,72,72,73,74,74,75,75,75,76,76,76/100m,76/100m,100m,100,,,,,,,102m,,,79,
ACEPEN_WM_5,2,Leaves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,
ACEPEN_WM_5,2,Flowers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,
BETPAP_GR_5B,2,Leaves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,
BETPAP_GR_5B,2,Flowers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,
ALNINC_HF_9,2,Leaves,,,,,,,,9,10,11,13,14,15,17,18,18,18,18,19,,,,,,,,,,100,76/100,77/100m,77/100m,77/100,100/100m,101/101m,101/101m,102/102m,"102,98",98,98,98,99
ALNINC_HF_9,2,Flowers,64-m,66-m; 64-f,66-m; 64-f,67-m; 64-f,68-m; 68-f,69-m; 68-f,68-f,68-f,69-f,,,,,,,,71,71,72,72,73,73,74,76,76,76,75,76,76/100m,100m,100,100,100m,77/93,77/94,78/94,"79, 98","102m,79",,,,
BETPOP_HF_1,2,Leaves,,,,,,,,9,10,11,11,11,12,19,19,,,,,,,,,,,,,,100,79,100m/100,100/100m,100/100m,100/100m,100/100m,101/101m,102/102m,"102,92",94,96,97,99
BETPOP_HF_1,2,Flowers,,,,,,,,,,61,61,62,64,67,71,71,72,72,72,73,74,74,74,74,75,75,,,,,,,,,,,91,102m,,,79,
AMECAN_GR_10,2,Leaves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"102,98",99,99,99,99
AMECAN_GR_10,2,Flowers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,
ALNINC_WM_5B,2,Leaves,,,,,9,9,9,9,11,14,14,15,17,18,,,,,,,,,,,,,,,,,100m,100/100m,100/100m,100/100m,100/100m,102/101m,102m,"102,96",97,97,98,99
ALNINC_WM_5B,2,Flowers,,64-m; 63-f,64-m; 63-f,67-m; 64-f,69-m; 67-f,67-f,68-f,68-f,68-f,69-f,,,,,,,,,,,,,,,,,75,76,76/100m,76/100m,77/100,77/93,77/93,77/93,78/94,78/95,"79, 96","102m,79",,,,
ACEPEN_HF_12,2,Leaves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,
ACEPEN_HF_12,2,Flowers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,
BETALL_GR_9,3,Leaves,,,,,,,,,9,10,10,11,12,18,18,18,19,,,,,,,,,,,100,100,100,100,101,102,,,,92,"102,95",98,99,99,99
BETALL_GR_9,3,Flowers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,
BETPAP_HF_16,3,Leaves,,,,,,,9,9,10,11,14,16,18,19,18,18,19,,,,,,,,,,,100,100,100/100m,100/100m,100/100m,100/100m,101/100m,101/101m,101/101m,102/101m,"102,91",95,97,99,99
BETPAP_HF_16,3,Flowers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101m,102m,,,
AMECAN_GR_10A,3,Leaves,,,,,7,9,10,11,11,12,15,17,19,,19,,,,,,,,,,,,,101,102,,,97,98,98,98,98,98,"102,98",98,99,99,99
AMECAN_GR_10A,3,Flowers,,,,,,,,,,,,,,,69,,,,,,,,,,,,,,,,,,,,,,,NA,,,,
ALNINC_GR_11A,3,Leaves,,,,,9,10,11,12,16,18,18,18,18,18,18,18,18,18,19,,,,,,,,,,100,76/100,77/100,77/100,100/100m,100/100m,101/101m,102/102m,,"102,97",98,98,99,99
ALNINC_GR_11A,3,Flowers,63-m,64-m,64-m,68-m,69-m,,,,,,,,,,,,,72,72,73,74,75,75,75,75,75,75,75/100/101m,75/100m,100m,100m,100m/92,77/94,77/94,78/94,78/95,"79, 96","102m,79",,,,
BETALL_SH_4,3,Leaves,,,,,,,,,9,10,11,12,13,18,18,19,,,,,,,,,,,,,,,,,,,,,,"102,96",98,99,99,99
BETALL_SH_4,3,Flowers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,101,102,,,,94,NA,,,,
BETPOP_GR_5A,3,Leaves,,,,,,,,,,9,9,9,11,17,17,19,,,,,,,,,,,,,,,100,100/100m,100/100m,101/100m,100/100m,102/102m,,92,96,98,99,99
BETPOP_GR_5A,3,Flowers,,,,,,,54,56,56,58,63,67,68,68,68,68,69,72,72,72,74,75,75,75,75,75,74,74,75/100m,75/100m,75/100m,75,75,75,75,76,"76, 91",79,,79,79,
BETALL_GR_12,3,Leaves,,,,,,,,9,10,11,11,14,16,18,18,19,,,,,,,,,,,,,,,,,,,,,,"102,98",99,99,99,99
BETALL_GR_12,3,Flowers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,101,102,,,94,94,NA,,,,
ALNINC_SH_5,3,Leaves,,,,,,,9,9,10,15,15,15,15,17,17,19,19,,,,,,,,,,,,,76,76/100m,77/100m,77/93,100/100m,101/101m,102/102m,,"102,96",97,97,99,99
ALNINC_SH_5,3,Flowers,67-m; 62-f,68-m; 63-f,68-m; 63-f,68-m; 63-f,69-m; 68-f,69-f,,,,,,,,,,,,71,71,72,73,73,74,75,75,75,75,76/100m,76/100m,100m,100,100/93,100/101m,77/93,78/93,78/95,"79, 96","102m,79",,,,
BETPAP_GR_8,3,Leaves,,,,,,,,,,9,9,9,10,15,16,18,18,18,18,19,,,,,,,,,,,,,,,,,,99,99,99,99,99
BETPAP_GR_8,3,Flowers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,
AMECAN_GR_10B,3,Leaves,,,,,,9,10,11,12,14,16,17,19,,19,,,,,,,,,,,,,101,102,,,96,96,96,96,96,96,"102,96",98,99,99,99
AMECAN_GR_10B,3,Flowers,,,,,,,,,54,57,61,63,67,68,69,71,71,74,74,75,75,75,75,75,75,75,,,,,,,,,,,,NA,,,,
BETALL_GR_1,3,Leaves,,,,,,,,,9,9,9,9,10,16,18,19,,,,,,,,,,,,,,,100,101,101,102,,94,94,"102,96",97,98,99,99
BETALL_GR_1,3,Flowers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,100m,,,,,,,NA,,,,
BETPOP_HF_1,3,Leaves,,,,,,,,,9,10,11,12,16,19,19,,,,,,,,,,,,,76/100m,76/100m,100m,100,100/100m,100/100m,100/100m,100/100m,101/101m,102/102m,"102,93",95,96,98,99
BETPOP_HF_1,3,Flowers,,,,,,,,,,,,,,,71,71,72,72,72,72,74,74,74,74,75,75,75,,,,,,,,,93,93,102m,,,,
ALNINC_GR_1,3,Leaves,,,,,,,9,10,11,12,14,15,16,18,18,18,19,,,,,,,,,,,,,,,77/95,77/96,100/100m,101/101m,102/101m,101m,"102,97",97,97,97,99
ALNINC_GR_1,3,Flowers,62-m,67-m,67-m,68-m; 63-f,69-m; 68-f,68-f,68-f,68-f,69-f,,,,,,,71,71,72,72,72,73,73,74,74,75,75,75,76,76/100,76/100m,76/100m,100/100m,100/100m,77/96,78/96,78/97,"79, 97","102m,79",,,,
BETPOP_GR_5B,3,Leaves,,,,,,,,,9,9,9,10,12,16,18,18,19,,,,,,,,,,,,,100,100,100/100m,100/100m,100/100m,101/101m,102/102m,,"102,92",95,97,99,99
BETPOP_GR_5B,3,Flowers,,,,,,,,,52,54,61,64,67,68,68,68,69,,,74,74,74,74,74,75,75,78,78/100m,79/100m,100m,100m,,,,,,92,NA,,,,
ALNINC_GR_8,3,Leaves,,,,,,9,10,10,12,15,16,16,16,17,18,18,18,18,19,,,,,,,,,,,100,100m,100/100m,100/100m,100/100m,101/101m,102/101m,102m,"102,96",97,97,99,99
ALNINC_GR_8,3,Flowers,65-m; 62-f,68-m; 64-f,68-m; 64-f,68-m; 65-f,69-m; 67-f,68-f,68-f,68-f,69,,,,,,,,,72,73,74,75,75,75,76,76,76,76,76/100m,76/100m,76/100m,100/77,77,77,77,78,78/93,"78, 95","102m,79",,,,
ACEPEN_HF_12,3,Leaves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,x,,,
ACEPEN_HF_12,3,Flowers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,x,,,
ALNINC_GR_11B,3,Leaves,,,,,,,9,10,12,14,16,16,16,18,18,18,18,19,,,,,,,,,,,100m,78/100m,78/100m,100/100m,100/100m,100/100m,101/101m,102/101m,102m,"102,97",97,97,99,99
ALNINC_GR_11B,3,Flowers,64-m,65-m; 62-f,65-m; 62-f,67-m; 63-f,68-m; 67-f,68-f,69-f,,,,,,,,,,,74,74,74,75,75,76,76,76,76,75,76/100m,76,92/100,100/93,77/94,77/94,78/94,78/94,79/95,96,"102m,79",,,,
BETPOP_WM_7,3,Leaves,,,,,,,,9,9,10,12,14,16,19,19,,,,,,,,,,,,,,,,,,,,,,,"102,91","102,94",95,97,99
BETPOP_WM_7,3,Flowers,,,,,,,,,,54,61,61,64,67,71,71,72,72,73,73,73,74,75,76,76,76,76,78,78,79,100,100/100m,100/100m,100/100m,101/101m,102/101m,101m,"101m,78","102m,78",78,79,
BETPOPX_X,3,Leaves,,,,,,,9,9,11,12,12,14,17,19,19,,,,,,,,,,,,,,,100,100m,,,,,,,"102,91",94,95,96,99
BETPOPX_X,3,Flowers,,,,,,,,,,51,61,61,67,67,71,71,72,72,73,73,74,75,75,76,76,76,76,78,78/100m,79/100m,100m,100/100m,100/100m,100/100m,101/101m,102/101m,102m,"102m,78",78,78,79,
VIBCAS_SH_1,4,Leaves,,,,7,9,11,15,16,18,19,,,,,19,,,,,,,,,,,,,,,,100,78,79,100/92,101/92,101/92,"101, 93",101.93,"102,96",97,98,99
VIBCAS_SH_1,4,Flowers,,,,,,,,,52,56,58,58,59,,59,,,,64,68,72,73,75,75,76,77,77,77,78,78,78/100,100/92,100/92,,,,,79,,,,
VIBCAS_GR_9,4,Leaves,,,,,9,11,15,16,17,18,18,19,,,19,,,,,,,,,,,,,,,,92,92/100,92/100,100/92,101/92,101/92,"102, 92","102,92",94,96,98,99
VIBCAS_GR_9,4,Flowers,,,,,,,52,52,54,57,58,58,59,,59,,,,67,68,73,74,76,76,76,77,77,77,78,78,79/100,,,,,,,NA,,,,
SPIALB_GR_12,4,Leaves,,,,,9,10,13,15,18,19,,,,,19,,,,,,,,,,,,,,,,,,78,79,,91,"68, 92",92,92,94,95,97
SPIALB_GR_12,4,Flowers,,,,,,,,,,,,,,,,,,,54,58,59,60,67,67/71,68/72,68/74,76,77,77,77,77,77,,,,,,68.72,72,79,,
