Species,Common,Keep,Continue trying to collect,Collected at HF?,Collected at WM?,Collected at GR?,Collected at SH?,"Seed Ripeness Phenology (1=Early, 4=Late)",Ring porous,Ring porous notes,Growthrate,Height,Team Height,Spacing,plants.per.6m,shadecloth.needed,shadereq,Availability,plants.raisedbed,Team spacing,Team.plants.per.6m,Notes
Acer spicatum,,Y,,,Y,Y,Y,4,Diffuse,Congener value,moderate,tree,Shrub Shade,1.5,16,3.75,Whole life,,2,1.5,25,
Diervilla lonicera,northern bush honeysuckle,Y,,Y,Y,Y,Y,3,,,moderate,shrub to 4',Shrub Shade,1.5 (or 1?),16,3.75,Whole life,,10,1.5,25,
Sorbus americana,,Y,,,,Y,Y,3,Semi,,,,Shrub Shade,1 (or 1.5?),16,3.75,Whole life,,,1.5,25,
Vaccinium myrtilloides,,Y,,,Y,Y,Y,2,Diffuse,Genus value,slow,,Shrub Shade,0.5,100,0.6,Whole life,,,0.75,,Fit inside the 1.5 m spacing (Aat .75 m)
Aronia melanocarpa,black chokeberry,Y,,Y,Y,,Y,3,Diffuse,,moderate,shrub to 6',Shrub Sun,1,20,,,,15,1,49,
Myrica gale,sweet gale or bog myrtle,Y,,,Y,Y,Y,4,Ring,,fast,shrub to 6',Shrub Sun,1,20,,,,12,1,49,
Spiraea alba,white meadowsweet,Y,,Y,Y,Y,Y,3,Semi,Congener value,fast,shrub to 6',Shrub Sun,1.5,20,,,,25,1,49,
Spiraea tomentosa,steeplebush or rosy meadowsweet,Y,,,Y,Y,Y,3,Semi,Congener value,fast,shrub to 6',Shrub Sun,1.5,20,,,,25,1,49,
viburnum cassinoides,witherod viburnum,Y,,,Y,Y,Y,4,Semi,Genus value,fast,shrub to 12',Shrub Sun,2,12,,,,15,1,49,
Acer pensylvanicum,Striped maple,Maybe,Y,Y,Y,,,4,Diffuse,,fast,shrub/tree to 50',Tree,3,8,,,,10,3,9,understory shrub - prefers shade
Alnus incana subsp. rug,gray alder,Y,,Y,Y,Y,Y,4,Diffuse,,fast,tree,Tree,3,8,,,,30,3,9,
Amelanchier canadensis,,Y,,,Y,Y,Y,1,Diffuse,,moderate,shrub to 20',Tree,1 (or 1.5?),20,,,,,1.5,25,
Betula alleghaniensis,,Y,,,Y,Y,Y,3,Diffuse,,fast,tree,Tree,1.5 (or 2?),16,,,,,1.5,25,
Sambucus racemosa,,,,MAYBE,,Y,,2,Diffuse,,moderate,,,1 (or 1.5?),16,,,,,,,
Betula papyrifera,,Y,,Y,,Y,Y,3,Diffuse,,fast,tree,Tree,1.5 (or 2?),16,,,,,1.5,25,
betula populifolia,gray birch,Maybe,,Y,Y,Y,,4,Diffuse,,fast,tree,Tree,1.5 (or 2?),16,,,,15,1.5,25,prefers full sun