"id","species","site","ind","Plot","Weight","Feet","Inches","StemVol","Notes","ssd"
"ACEPEN_HF_12","ACEPEN","HF","12",12,2448.7,5,8,NA,"",NA
"ACEPEN_HF_12","ACEPEN","HF","12",2,NA,NA,NA,NA,"Dead",NA
"ACEPEN_WM_5","ACEPEN","WM","5",2,NA,NA,NA,NA,"dead",NA
"ACEPEN_HF_12","ACEPEN","HF","12",2,NA,NA,NA,NA,"dead",NA
"ACEPEN_HF_12","ACEPEN","HF","12",3,NA,NA,NA,NA,"dead",NA
"ACEPEN_HF_12","ACEPEN","HF","12",5,NA,NA,NA,NA,"dead",NA
"ACEPEN_WM_5","ACEPEN","WM","5",5,NA,NA,NA,NA,"Probably dead",NA
"ACEPEN_HF_12","ACEPEN","HF","12",6,NA,NA,NA,NA,"dead",NA
"ACEPEN_WM_5","ACEPEN","WM","5",6,NA,NA,NA,NA,"dead",NA
"ACEPEN_WM_5","ACEPEN","WM","5",9,NA,NA,NA,NA,"dead",NA
"ACEPEN_WM_5","ACEPEN","WM","5",9,NA,NA,NA,NA,"Dead",NA
"ACEPEN_WM_5","ACEPEN","WM","5",12,NA,NA,NA,NA,"dead",NA
"ACESPI_GR_8","ACESPI","GR","8",7,NA,NA,NA,NA,"dead",NA
"ACESPI_GR_6","ACESPI","GR","6",7,NA,NA,NA,NA,"dead",NA
"ACESPI_GR_4","ACESPI","GR","4",7,NA,NA,NA,NA,"dead",NA
"ACESPI_SH_2","ACESPI","SH","2",7,NA,NA,NA,NA,"dead",NA
"ACESPI_WM_1","ACESPI","WM","1",7,NA,NA,NA,NA,"dead",NA
"ACESPI_GR_4","ACESPI","GR","4",10,NA,NA,NA,NA,"dead",NA
"ACESPI_SH_2A","ACESPI","SH","2A",10,NA,NA,NA,NA,"",NA
"ACESPI_SH_2B","ACESPI","SH","2B",10,NA,NA,NA,NA,"",NA
"ACESPI_SH_9","ACESPI","SH","9",10,NA,NA,NA,NA,"dead",NA
"ALNINC_GR_8B","ALNINC","GR","8B",5,882.5,14,6.5,1965,"",0.44910941475827
"ALNINC_HF_8","ALNINC","HF","8",12,1176.2,14,6,2729,"",0.431000366434591
"ALNINC_GR_11B","ALNINC","GR","11B",3,1219.2,14,5.5,2969,"",0.410643314247221
"ALNINC_HF_1","ALNINC","HF","1",16,1244,8,11.5,3075,"",0.404552845528455
"ALNINC_HF_9","ALNINC","HF","9",15,1288.6,6,8,4002,"dead sampled?",0.321989005497251
"ALNINC_SH_5","ALNINC","SH","5",5,1426.2,NA,NA,3405,"",0.418854625550661
"ALNINC_GR_1","ALNINC","GR","1",5,1456.5,14,5,4437,"map labelled as Amecan_GR_1",0.328262339418526
"ALNINC_GR_1","ALNINC","GR","1",3,1460.6,11,1,3595,"mislabeled as ALNINC_WM_1",0.406286509040334
"ALNINC_HF_5","ALNINC","HF","5",6,1461.9,15,1.5,3305,"",0.44232980332829
"ALNINC_SH_1","ALNINC","SH","1",1,1462.2,12,8.25,3352,"",0.436217183770883
"ALNINC_WM_1","ALNINC","WM","1",1,1475.8,13,2.5,3545,"",0.416304654442877
"ALNINC_GR_8A","ALNINC","GR","8A",5,1491.5,12,10.5,3624,"",0.411561810154525
"ALNINC_GR_11","ALNINC","GR","11",3,1510.7,NA,NA,3375,"",0.447614814814815
"ALNINC_WM_2B","ALNINC","WM","2B",1,1569,14,8.5,3588,"",0.437290969899666
"ALNINC_SH_5","ALNINC","SH","5",3,1578.1,12,1.5,3651,"",0.432237743084087
"ALNINC_SH_8","ALNINC","SH","8",9,1624.9,13,9,3816,"",0.425812368972746
"ALNINC_WM_5B","ALNINC","WM","5B",1,1674.6,NA,NA,4045,"",0.413992583436341
"ALNINC_HF_2","ALNINC","HF","2",1,1705,10,10,3740,"",0.455882352941176
"ALNINC_GR_11","ALNINC","GR","11",15,1735.1,12,11,4321,"",0.40155056699838
"ALNINC_WM_5A","ALNINC","WM","5A",16,1741.6,13,8,4064,"",0.428543307086614
"ALNINC_SH_3","ALNINC","SH","3",16,1770,13,1,5932,"",0.29838165879973
"ALNINC_HF_9","ALNINC","HF","9",9,1835.5,14,2,4278,"",0.429055633473586
"ALNINC_SH_5","ALNINC","SH","5",2,1860.7,8,11.25,4408,"",0.42211887477314
"ALNINC_HF_1","ALNINC","HF","1",1,1952.1,10,9,4232,"",0.461271266540643
"ALNINC_SH_1","ALNINC","SH","1",12,1978,15,8,4970,"",0.397987927565392
"ALNINC_GR_8","ALNINC","GR","8",3,2012.7,13,10.5,4696,"",0.428598807495741
"ALNINC_HF_9","ALNINC","HF","9",2,2018.5,15,2,4827,"no plot number on physical datasheet",0.418168634762793
"ALNINC_HF_9","ALNINC","HF","9",6,2048.9,14,10.5,4884,"",0.419512694512695
"ALNINC_SH_4","ALNINC","SH","4",15,2073.1,15,9,5041,"",0.411247768299941
"ALNINC_SH_4","ALNINC","SH","4",2,2098.9,14,1,5706,"",0.367840869260428
"ALNINC_WM_2A","ALNINC","WM","2A",1,2143.6,14,9.5,4823,"",0.444453659547999
"ALNINC_WM_5A","ALNINC","WM","5A",2,2223.3,14,7.5,5344,"",0.416036676646707
"ALNINC_GR_8","ALNINC","GR","8",16,2249,12,0,5155,"",0.43627546071775
"ALNINC_WM_5B","ALNINC","WM","5B",16,2295.7,12,2.5,5412,"",0.424186991869919
"ALNINC_WM_5","ALNINC","WM","5",1,2950.3,14,2.5,7088,"",0.416238713318284
"ALNINC_GR_11","ALNINC","GR","11",1,3010,14,8.5,7404,"",0.406537007023231
"ALNINC_WM_5B","ALNINC","WM","5B",2,NA,13,6.5,NA,"",NA
"ALNINC_GR_11A","ALNINC","GR","11A",3,NA,13,5.5,NA,"",NA
"ALNINC_SH_6","ALNINC","SH","6",5,NA,16,4,NA,"",NA
"AMECAN_GR_10","AMECAN","GR","10",6,570.3,7,6.5,1043,"tallest branch sagged a lot so we took the measurement and the tallest w / out holding up the log saggy branch -> 4 ft 0in",0.546788111217641
"AMECAN_WM_1","AMECAN","WM","1",2,875.5,NA,NA,2184,"",0.400869963369963
"AMECAN_GR_10B","AMECAN","GR","10B",3,1398.6,6,10,2489,"",0.561912414624347
"AMECAN_SH_3","AMECAN","SH","3",15,1609.2,4,4.5,2981,"",0.539818852733982
"AMECAN_SH_4","AMECAN","SH","4",6,1621.5,8,4.5,2964,"",0.547064777327935
"AMECAN_GR_10","AMECAN","GR","10",2,NA,NA,NA,NA,"dead",NA
"AMECAN_GR_10A","AMECAN","GR","10A",3,NA,NA,NA,NA,"dead",NA
"AMECAN_GR_10A","AMECAN","GR","10A",5,NA,NA,NA,NA,"Dead",NA
"AMECAN_SH_4","AMECAN","SH","4",5,NA,NA,NA,NA,"dead",NA
"AMECAN_GR_10B","AMECAN","GR","10B",5,NA,NA,NA,NA,"Dead",NA
"AMECAN_SH_2","AMECAN","SH","2",6,NA,NA,NA,NA,"Dead",NA
"AROMEL_WM_2","AROMEL","WM","2",14,1210,2,1.5,3322,"",0.364238410596026
"AROMEL_HF_8B","AROMEL","HF","8B",11,1219.7,3,10,2203,"",0.553654108034498
"AROMEL_WM_15","AROMEL","WM","15",4,1236.2,2,0,2334,"",0.529648671808055
"AROMEL_HF_12","AROMEL","HF","12",11,1307.2,3,2,2488,"",0.52540192926045
"AROMEL_HF_10","AROMEL","HF","10",8,1307.5,4,8,2632,"",0.496770516717325
"AROMEL_HF_13","AROMEL","HF","13",14,1444.7,2,6,3123,"",0.462600064040986
"AROMEL_WM_2","AROMEL","WM","2",4,1579,NA,NA,2919,"dead",0.540938677629325
"AROMEL_HF_8A","AROMEL","HF","8A",11,1579.5,3,5,2887,"another plant has grown with it",0.547107724281261
"AROMEL_HF_12","AROMEL","HF","12",14,1877,3,2,3628,"",0.517364939360529
"AROMEL_WM_7","AROMEL","WM","7",8,2316.3,1,8,4194,"",0.552288984263233
"AROMEL_HF_4","AROMEL","HF","4",8,3067.5,4,10,5391,"",0.569003895381191
"AROMEL_WM_7","AROMEL","WM","7",4,NA,NA,NA,NA,"dead",NA
"AROMEL_HF_4","AROMEL","HF","4",4,NA,NA,NA,NA,"dead",NA
"AROMEL_WM_5","AROMEL","WM","5",4,NA,NA,NA,NA,"dead",NA
"AROMEL_WM_5","AROMEL","WM","5",11,NA,NA,NA,NA,"dead",NA
"BETALL_WM_8","BETALL","WM","8",9,619,10,6,1249,"",0.495596477181745
"BETALL_GR_13","BETALL","GR","13",15,663.9,10,8,1308,"",0.50756880733945
"BETALL_GR_13","BETALL","GR","13",2,844.4,11,7.5,1934,"",0.436608066184074
"BETALL_SH_7","BETALL","SH","7",16,856.7,5,5.5,1951,"",0.439108149666838
"BETALL_SH_9","BETALL","SH","9",9,870.9,8,4,1882,"",0.462752391073326
"BETALL_WM_8A","BETALL","WM","8A",5,936.5,13,7,1988,"",0.471076458752515
"BETALL_SH_2","BETALL","SH","2",6,955.3,10,10,1846,"",0.517497291440953
"BETALL_GR_14","BETALL","GR","14",15,970.3,9,1,2326,"",0.417153912295787
"BETALL_SH_4","BETALL","SH","4",3,995.8,11,1,2023,"",0.492239248640633
"BETALL_WM_8A","BETALL","WM","8A",12,1083.4,10,11,2283,"",0.47455102934735
"BETALL_GR_12","BETALL","GR","12",3,1090.4,10,8,2356,"",0.462818336162988
"BETALL_WM_8B","BETALL","WM","8B",12,1110.3,12,1,2310,"",0.480649350649351
"BETALL_GR_14","BETALL","GR","14",16,1133.4,3,11,2459,"",0.460919072793819
"BETALL_SH_9","BETALL","SH","9",6,1216,12,1.5,2778,"",0.43772498200144
"BETALL_WM_8B","BETALL","WM","8B",5,1273.3,14,2,2515,"",0.506282306163022
"BETALL_WM_8","BETALL","WM","8",1,1310.8,13,7,2832,"",0.462853107344633
"BETALL_GR_12","BETALL","GR","12",1,1479.5,13,6.5,2991,"",0.494650618522233
"BETALL_GR_1","BETALL","GR","1",3,1565,11,10,3243,"mislabeled as BETAL_GR_9",0.482577860006167
"BETALL_GR_9","BETALL","GR","9",3,1582.2,12,0,3425,"",0.461956204379562
"BETALL_WM_9","BETALL","WM","9",5,1609.3,12,0,3422,"",0.470280537697253
"BETALL_SH_4A","BETALL","SH","4A",9,1625.2,6,6.5,3485,"",0.466341463414634
"BETALL_SH_5","BETALL","SH","5",6,1637,10,6,3665,"",0.446657571623465
"BETALL_GR_13","BETALL","GR","13",1,1880.2,12,7.5,4094,"",0.459257449926722
"BETALL_SH_5","BETALL","SH","5",9,NA,NA,NA,NA,"dead",NA
"BETALL_WM_9","BETALL","WM","9",9,NA,NA,NA,NA,"Dead",NA
"BETALL_SH_4B","BETALL","SH","4B",9,NA,NA,NA,NA,"dead",NA
"BETALL_WM_9","BETALL","WM","9",16,NA,NA,NA,NA,"dead",NA
"BETPAP_GR_8","BETPAP","GR","8",6,506.4,4,3,962,"",0.526403326403326
"BETPAP_GR_8","BETPAP","GR","8",5,760.8,8,1,1440,"",0.528333333333333
"BETPAP_HF_16","BETPAP","HF","16",12,761.5,14,3,1637,"",0.465180207697007
"BETPAP_HF_16B","BETPAP","HF","16B",6,951.7,14,5.5,1996,"",0.476803607214429
"BETPAP_HF_16","BETPAP","HF","16",3,1053.2,13,6,2070,"",0.508792270531401
"BETPAP_GR_8","BETPAP","GR","8",12,1136.2,5,9,2440,"",0.465655737704918
"BETPAP_GR_5A","BETPAP","GR","5A",2,1515.3,8,8.5,3148,"",0.481353240152478
"BETPAP_SH_1A","BETPAP","SH","1A",1,1694.6,16,2,4067,"",0.416670764691419
"BETPAP_GR_5","BETPAP","GR","5",1,NA,NA,NA,NA,"Dead",NA
"BETPAP_SH_1B","BETPAP","SH","1B",1,NA,NA,NA,NA,"",NA
"BETPAP_GR_5B","BETPAP","GR","5B",2,NA,NA,NA,NA,"Dead",NA
"BETPAP_GR_8","BETPAP","GR","8",3,NA,NA,NA,NA,"dead",NA
"BETPAP_HF_16","BETPAP","HF","16",5,NA,NA,NA,NA,"dead",NA
"BETPAP_GR_9","BETPAP","GR","9",9,NA,NA,NA,NA,"Dead",NA
"BETPAP_HF_16","BETPAP","HF","16",2,NA,19,1,NA,"",NA
"BETPAP_HF_16A","BETPAP","HF","16A",6,NA,16,5.5,NA,"",NA
"BETPOP_HF_16A","BETPOP","HF","16A",6,686.1,NA,NA,1396,"",0.49147564469914
"BETPOP_GR_5","BETPOP","GR","5",6,716.9,15,7,1432,"",0.500628491620112
"BETPOP_HF_3","BETPOP","HF","3",1,717.2,18,7,1288,"",0.556832298136646
"BETPOP_HF_5","BETPOP","HF","5",6,738.8,21,1.5,1596,"",0.462907268170426
"BETPOP_HF_4","BETPOP","HF","4",9,773.7,23,5,1492,"",0.518565683646113
"BETPOP_GR_3","BETPOP","GR","3",16,830.6,10,3,1665,"",0.498858858858859
"BETPOP_WM_9","BETPOP","WM","9",15,835.6,12,10,1852,"",0.451187904967603
"BETPOP_GR_3","BETPOP","GR","3",6,861.7,15,2.5,2104,"",0.409553231939164
"BETPOP_XX","BETPOP","XX","",3,958,NA,NA,1867,"",0.513122656668452
"BETPOP_GR_5","BETPOP","GR","5",1,NA,NA,NA,NA,"",NA
"BETPOP_GR_5B","BETPOP","GR","5B",3,1071.9,17,0,2254,"",0.475554569653949
"BETPOP_HF_3A","BETPOP","HF","3A",6,1086.5,16,2.5,1247,"",0.871291098636728
"BETPOP_HF_1","BETPOP","HF","1",3,1132.5,16,1.5,2326,"",0.48688736027515
"BETPOP_WM_8","BETPOP","WM","8",16,1146.7,16,2,2670,"",0.429475655430712
"BETPOP_WM_7","BETPOP","WM","7",1,1149,20,5,2188,"",0.525137111517367
"BETPOP_WM_7","BETPOP","WM","7",15,1154.9,16,0,2376,"",0.486069023569024
"BETPOP_HF_16A","BETPOP","HF","16A",2,1181.7,NA,NA,2373,"",0.497977243994943
"BETPOP_WM_7","BETPOP","WM","7",6,1213.4,19,1,2538,"",0.478092986603625
"BETPOP_HF_3B","BETPOP","HF","3B",6,1263.9,20,6,2484,"",0.508816425120773
"BETPOP_GR_5A","BETPOP","GR","5A",3,1305.4,11,4,2637,"",0.495032233598786
"BETPOP_GR_5C","BETPOP","GR","5C",12,1343.5,10,11,3072,"",0.437337239583333
"BETPOP_GR_5B","BETPOP","GR","5B",12,1375.7,16,7,2823,"",0.487318455543748
"BETPOP_WM_7","BETPOP","WM","7",3,1405.3,22,2,3573,"est",0.393310943184999
"BETPOP_GR_5A","BETPOP","GR","5A",12,1432.7,13,6,3144,"",0.455693384223919
"BETPOP_HF_1","BETPOP","HF","1",2,1611.1,17,8,3257,"",0.494657660423703
"BETPOP_WM_7","BETPOP","WM","7",9,1702.3,20,8.5,3522,"",0.483333333333333
"BETPOP_WM_8","BETPOP","WM","8",15,1742.2,13,6.5,3437,"",0.50689554844341
"BETPOP_WM_7","BETPOP","WM","7",2,2672.5,23,3,5507,"",0.485291447248956
"BETPOP_GR_5","BETPOP","GR","5",1,1028,14,9.5,2104,"",0.488593155893536
"BETPOP_HF_5","BETPOP","HF","5",2,NA,NA,NA,NA,"dead",NA
"BETPOPX_X","BETPOP","X","",3,NA,21,5,NA,"Est",NA
"DIELON_HF_4","DIELON","HF","4",7,365.9,1,5,1408,"",0.259872159090909
"DIELON_SH_2B","DIELON","SH","2B",13,441,2,2.5,1555,"",0.283601286173633
"DIELON_HF_3","DIELON","HF","3",7,451.9,1,11.5,1648,"",0.274211165048544
"DIELON_HF_2","DIELON","HF","2",7,504.8,1,4,1642,"",0.307429963459196
"DIELON_HF_2B","DIELON","HF","2B",13,533.1,2,2,1772,"",0.300846501128668
"DIELON_HF_2C","DIELON","HF","2C",13,537,2,9,1776,"",0.302364864864865
"DIELON_WM_1C","DIELON","WM","1C",13,561.5,2,8.5,1928,"",0.291234439834025
"DIELON_WM_1A","DIELON","WM","1A",13,591.3,1,11,1654,"",0.357496977025393
"DIELON_HF_2A","DIELON","HF","2A",13,615.2,2,8,1760,"",0.349545454545454
"DIELON_GR_5A","DIELON","GR","5A",7,680.2,2,7.5,1914,"",0.355381400208986
"DIELON_GR_5C","DIELON","GR","5C",7,696.7,2,6.5,2110,"",0.330189573459716
"DIELON_GR_8","DIELON","GR","8",13,730.5,2,5.5,2333,"",0.31311615945135
