ID,Plot,Feet,Inches,Notes,
BETPAP_GR_5,1,6,5,Dead,We assumed 16 ft 4 in was the max. Inches are on a 10 in scale but equate to 12 inches 
ALNINC_SH_1,1,11,2,,
BETPAP_SH_1A,1,14,6,,
ALNINC_GR_11,1,13,3.5,,
BETPOP_WM_7,1,18,0,est,
BETALL_WM_8,1,11,3,,
ALNINC_WM_2A,1,13,4,,
BETPOP_HF_3,1,16,4,,
BETALL_GR_13,1,10,6,,
ALNINC_WM_5,1,12,9,,
ALNINC_WM_1,1,12,4,,
ALNINC_HF_2,1,10,8.5,,
ALNINC_HF_1,1,10,6,,
BETALL_GR_12,1,12,2,,
BETPOP_GR_5,1,13,7,,
BETPAP_SH_1B,1,13,1,,
ALNINC_WM_2B,1,14,0,,
ALNINC_SH_4,2,13,0,,
ALNINC_SH_5,2,8,7,,
AMECAN_WM_1,2,5,3,,
BETPAP_GR_5A,2,6,4.5,,
BETALL_GR_13,2,9,6,,
ALNINC_WM_5A,2,13,0,,
BETPAP_HF_16,2,16,1.5,,
BETPOP_HF_5,2,,,dead,
ACEPEN_HF_12,2,,,Dead,
BETPOP_WM_7,2,20,4,,
ACEPEN_WM_5,2,,,dead,
BETPAP_GR_5B,2,,,Dead,
ALNINC_HF_9,2,13,5,,
BETPOP_HF_1,2,15,1,,
AMECAN_GR_10,2,,,dead,
ALNINC_WM_5B,2,12,4,,
ACEPEN_HF_12,2,,,dead,
BETALL_GR_9,3,11,6,,
BETPAP_HF_16,3,12,3,,
AMECAN_GR_10A,3,,,dead,
ALNINC_GR_11A,3,13,6,,
BETALL_SH_4,3,10,5,,
BETPOP_GR_5A,3,10,2,,
BETALL_GR_12,3,10,4,,
ALNINC_SH_5,3,10,9,,
BETPAP_GR_8,3,,,dead,
AMECAN_GR_10B,3,5,8.5,,
BETALL_GR_1,3,11,7,,
BETPOP_HF_1,3,13,3,,
ALNINC_GR_1,3,12,0.5,,
BETPOP_GR_5B,3,14,7.5,,
ALNINC_GR_8,3,13,0,,
ACEPEN_HF_12,3,,,dead,
ALNINC_GR_11B,3,12,3,,
BETPOP_WM_7,3,19,4,est,
BETPOPX_X,3,17,4,Est,
VIBCAS_SH_1,4,4,5,,
VIBCAS_GR_9,4,4,2.5,,
SPIALB_GR_12,4,5,9,,
SPITOM_WM_5A,4,4,2.5,,
SPIALB_WM_2A,4,5,2,,
MYRGAL_SH_1A,4,,,dead,
AROMEL_WM_2,4,3,,If it's less than 4 ft we have to use the red and black back,
AROMEL_WM_7,4,,,dead,
SPIALB_SH_9A,4,3,6,,
SPITOM_WM_5B,4,3,7,,
MYRGAL_SH_2A,4,2,2.5,,
MYRGAL_GR_8A,4,,,dead,
SPIALB_HF_1,4,5,6,,
SPIALB_WM_2B,4,5,5.5,,
SPITOM_SH_99,4,4,,,
MYRGAL_GR_8B,4,,,dead,
SPIALB_HF_4A,4,5,2,,
SPITOM_SH_9,4,3,4,,
SPITOM_WM_5C,4,3,0.5,,
SPIALB_SH_8,4,,,dead,
MYRGAL_SH_1B,4,2,5,,
SPIALB_GR_3,4,6,0.5,,
VIBCAS_WM_4,4,4,3,,
VIBCAS_GR_12A,4,4,5,,
MYRGAL_WM_6A,4,1,9,Almost dead,
AROMEL_WM_15,4,3,4,,
SPIALB_SH_4A,4,5,5.5,,
SPIALB_SH_7,4,5,1,,
MYRGAL_WM_6B,4,,,dead,
SPIALB_GR_7,4,6,8,,
SPIALB_SH_4B,4,3,4,,
SPIALB_WM_7A,4,4,7.5,,
VIBCAS_GR_12B,4,5,5,,
MYRGAL_GR_8C,4,2,5,,
SPIALB_HF_8,4,4,0,4ft is a horrible zone for accuracy. Somewhere between 3ft 6in and 4ft,
SPITOM_WM_5D,4,3,0,,
SPIALB_SH_1,4,4,9,,
MYRGAL_SH_2B,4,2,1.5,..almost dead,
VIBCAS_SH_5,4,5,1.5,,
MYRGAL_GR_8D,4,1,6,,
SPIALB_WM_7B,4,5,5,,
SPITOM_WM_5E,4,2,4,,
AROMEL_HF_4,4,,,dead,
AROMEL_WM_5,4,1,4.5,,
SPIALB_SH_9B,4,4,5,,
VIBCAS_GR_10,4,3,1,,
BETPAP_GR_8,5,8,1,,
BETALL_WM_8A,5,18,4,,
BETALL_WM_9,5,13,2,,
ACEPEN_HF_12,5,,,dead,
AMECAN_GR_10A,5,,,Dead,
ALNINC_GR_8A,5,11,5,,
ALNINC_GR_8B,5,14,1.5,,
ALNINC_GR_1,5,14,7,,
QUERUB_HF_9,5,8,5.5,,
AMECAN_SH_4,5,,,dead,
AMECAN_GR_10B,5,,,Dead,
BETALL_WM_8B,5,14,1,,
BETPAP_HF_16,5,,,dead,
QUERUB_HF_99,5,5,1.5,,
ACEPEN_WM_5,5,4,7.5,photo attached. Probably dead,
ALNINC_SH_6,5,14,9,,
BETALL_SH_9,6,12,2,,
BETPOP_GR_5,6,14,0,,
BETPOP_GR_3,6,16,0,,
AMECAN_SH_4,6,7,1,,
BETPAP_GR_8,6,3,6,,
BETPOP_HF_3A,6,13,0.5,,
BETPOP_HF_3B,6,18,0,,
ALNINC_HF_5,6,13,7,,
BETALL_SH_5,6,9,7,,
BETPAP_HF_16A,6,15,7,,
BETPOP_HF_5,6,18,9,,
ACEPEN_HF_12,6,,,dead,
BETALL_SH_2,6,10,7,,
ALNINC_HF_9,6,14,1,,
AMECAN_SH_2,6,,,Dead,
BETPOP_WM_7,6,14,7,,
BETPAP_HF_16B,6,12,6,,
AMECAN_GR_10,6,4,1,,
ACEPEN_WM_5,6,,,dead,
SAMRAC_GR_2,7,5,9,,
ACESPI_GR_8,7,,,dead,
DIELON_WM,7,2,6,,
SORAME_GR_9C,7,,,dead,
SAMRAC_GR_7A,7,6,3.5,,
ACESPI_GR_6,7,,,dead,
DIELON_HF_1A,7,3,0,,
DIELON_GR_5A,7,2,8,,
DIELON_HF_4,7,1,7,,
SORAME_SH_3,7,,,dead),
SORAME_GR_9D,7,,,Dead),
DIELON_HF_3,7,2,9,,
DIELON_GR_5B,7,3,3,,
SORAME_GR_9A,7,,,dead,
DIELON_SH_4,7,3,5,,
DIELON_GR_5C,7,3,0,,
DIELON_HF_2,7,2,0,,
DIELON_HF_1B,7,3,1.5,,
ACESPI_GR_4,7,,,dead,
SORAME_GR_9B,7,3,4,,
ACESPI_SH_2,7,,,dead,
SAMRAC_GR_7B,7,4,6.5,,
ACESPI_WM_1,7,,,dead,
SAMRAC_GR_4,7,8,5,,
SAMRAC_GR_9,7,6,8,,
VIBCAS_SH_1A,8,2,1.5,,
AROMEL_HF_4,8,5,8,,
VIBCAS_SH_5A,8,4,0,,
MYRGAL_WM_6A,8,2,9,,
VIBCAS_WM_4,8,3,7,,
MYRGAL_SH_1,8,2,9,,
VIBCAS_SH_5B,8,4,1,,
AROMEL_HF_10,8,4,4,,
AROMEL_WM_7,8,1,9,,
SPIALB_WM_7A,8,5,5.5,,
VIBCAS_GR_12A,8,4,5,,
SPITOM_GR_2B,8,1,4,,
SPITOM_WM_4A,8,2,9,,
SPITOM_HF_6A,8,3,2,,
SPIALB_GR_12A,8,5,6,,
VIBCAS_SH_5C,8,4,2.5,,
SPIALB_GR_5,8,5,1.5,,
SPITOM_HF_4,8,2,5,,
SPITOM_HF_9A,8,2,8.5,,
SPIALB_WM_7B,8,5,4.5,,
SPITOM_GR_2C,8,3,1,,
SPITOM_GR_2D,8,2,7.5,,
SPITOM_WM_5,8,2,8,,
SPIALB_GR_12B,8,5,2.5,,
SPIALB_GR_3,8,5,4.5,,
MYRGAL_SH_2,8,3,1,,
VIBCAS_GR_12B,8,4,0,,
SPITOM_WM_4B,8,3,1,,
SPITOM_HF_13,8,2,9,,
SPIALB_HF_2,8,5,2,,
SPIALB_SH_7A,8,4,7.5,,
VIBCAS_WM_9A,8,4,1,,
VIBCAS_GR_5,8,4,3,,
SPITOM_GR_1,8,2,8,,
VIBCAS_SH_1B,8,3,3,,
SPITOM_HF_6B,8,3,1,,
VIBCAS_WM_9B,8,4,8.5,,
SPIALB_HF_3,8,5,2.5,,
SPIALB_GR_9,8,4,8,,
SPIALB_SH_7B,8,4,9,,
SPITOM_HF_9B,8,3,2.5,,
MYRGAL_WM_6B,8,2,9,,
ACEPEN_WM_5,9,,,dead,
ALNINC_SH_8,9,12,7,,
BETPOP_WM_7,9,15,5,,
BETALL_WM_8,9,8,6.5,,
BETALL_SH_9,9,5,9,,
BETALL_SH_5,9,,,dead,
BETALL_WM_9,9,,,Dead,
ACEPEN_WM_5,9,,,Dead,
BETPAP_GR_9,9,,,Dead,
ALNINC_HF_9,9,11,8,,
BETALL_SH_4A,9,5,1,,
BETALL_SH_4B,9,,,dead,
QUERUB_WM_9,9,,,Dead,
BETPOP_HF_4,9,12,5.5,,
ACESPI_GR_4,10,,,dead,
SAMRAC_HF_A,10,9,2,,
ACESPI_SH_2A,10,,,,
ACESPI_SH_2B,10,,,,
DIELON_SH_12,10,,,,
DIELON_GR_5,10,,,,
SORAME_GR_9A,10,,,,
DIELON_HF_1,10,,,,
SAMRAC_GR_7,10,2,4,,
ACESPI_SH_9,10,,,,
SORAME_SH_3A,10,,,,
DIELON_SH_4,10,,,,
SORAME_SH_3B,10,,,,
SAMRAC_GR_4,10,,,,
SAMRAC_HF_B,10,7,0,,
SORAME_SH_3B,10,,,,
DIELON_GR_8,10,,,,
SAMRAC_GR_1,10,,,,
DIELON_SH_4,10,,,,
SORAME_GR_9B,10,,,,
DIELON_SH_2,10,,,,
DIELON_GR_8A,10,,,,
DIELON_GR_8B,10,,,,
SPITOM_SH_99A,11,,,dead,
MYRGAL_WM_6A,11,2,7,,
SPITOM_GR_1A,11,3,0.5,,
SPIALB_HF_10,11,4,5,,
VIBCAS_WM_4,11,2,7,,
SPIALB_HF_4A,11,4,8.5,,
SPIALB_WM_4A,11,4,8.5,,
MYRGAL_WM_6B,11,2,3,,
SPITOM_SH_99B,11,2,3.5,,
SPITOM_SH_99C,11,3,5,,
SPITOM_HF_5,11,,,dead,
SPIALB_WM_4B,11,4,3,,
SPIALB_WM_4C,11,4,8,,
SPITOM_SH_99D,11,3,0,,
SPIALB_WM_5,11,5,1,,
SPIALB_WM_2B,11,3,9,,
SPIALB_WM_2A,11,,,dead,
VIBCAS_WM_9A,11,4,3,,
SPITOM_SH_99E,11,1,5,almost dead,
SPIALB_HF_4B,11,4,0.5,,
VIBCAS_WM_9B,11,3,5,,
SPITOM_SH_99F,11,3,2.5,,
AROMEL_WM_5,11,1,7,,
VIBCAS_SH_9,11,1,9,,
VIBCAS_GR_10,11,3,4,,
SPITOM_GR_1A,11,,,dead,
SPITOM_GR_1B,11,2,3,,
SPITOM_HF_6,11,2,9,,
AROMEL_HF_8A,11,3,1,,
AROMEL_HF_8B,11,2,3,,
VIBCAS_WM_10,11,3,5.5,,
AROMEL_HF_12,11,3,0,,
ALNINC_SH_1,12,13,3,,
ACEPEN_WM_5,12,,,dead,
ACEPEN_HF_12,12,4,7,,
BETPOP_GR_5A,12,11,0,,
QUERUB_WM_9,12,,,dead,
BETPOP_GR_5B,12,13,9,,
ALNINC_HF_8,12,13,5.5,,
BETPAP_HF_16,12,11,9,,
BETALL_WM_8A,12,8,4.5,,
BETPAP_GR_8,12,5,5,,
BETPOP_GR_5C,12,8,5,,
BETALL_WM_8B,12,11,1,,
SAMRAC_HF_A,13,8,7,,
VACMYR_WM_5,13,,,dead,
DIELON_WM_1A,13,2,0,,
SAMRAC_HF_B,13,8,8,,
VACMYR_GR_10A,13,,,dead,
DIELON_HF_2A,13,2,8,,
SORAME_SH_1A,13,,,Dead,
SORAME_SH_1B,13,,,Dead,
DIELON_GR_8,13,2,8,,
VACMR_GR_10B,13,,,dead,
DIELON_HF_2B,13,3,1,,
DIELON_HF_2C,13,2,9,,
VACMYR_GR_10C,13,,,dead,
SAMRAC_GR_8,13,6,7.5,,
DIELON_WM_1B,13,2,7,,
SAMRAC_HF_C,13,9,7,,
DIELON_SH_2A,13,2,6,,
SORAME_SH_3,13,,,dead,
DIELON_SH_4,13,0,9,,
SAMRAC_HF_D,13,10,8,,
DIELON_SH_2B,13,3,1,,
DIELON_WM_1C,13,3,3,,
MYRGAL_WM_6,14,2,3,,
VIBCAS_WM_7,14,2,2,,
SAMRAC_GR_4A,14,,,dead,
AROMEL_WM_2,14,2,1,,
VIBCAS_HF_7A,14,3,9,,
VIBCAS_GR_3,14,3,6,,
AROMEL_HF_13,14,2,1,,
DIELON_GR_6,14,,,dead,
DIELON_GR_2,14,,,Dead,
AROMEL_HF_12,14,2,8.5,,
MYRGAL_SH_99,14,2,6,,
DIELON_SH_4,14,,,dead,
SORAME_SH_3,14,1,6.5,,
BETALL_GR_13,15,8,9,,
BETALL_GR_14,15,7,5.5,,
ALNINC_SH_4,15,13,9,,
BETPOP_WM_9,15,9,9,,
AMECAN_SH_3,15,1,9,,
ALNINC_GR_11,15,9,8,,
ALNINC_HF_9,15,,,dead sampled?,
QUEALB_HF_4,15,,,Dead,
BETPOP_WM_7,15,15,0,,
BETPOP_WM_8,15,11,7,,
BETPOP_WM_8,16,12,2,,
QUEALB_HF_4A,16,4,2.5,,
QUEALB_HF_4B,16,,,dead,
ALNINC_WM_5A,16,11,7.5,,
ALNINC_GR_8,16,10,5.5,,
BETPOP_GR_3,16,5,5,,
ALNINC_SH_3,16,11,8,,
BETALL_SH_7,16,5,3,,
ALNINC_HF_1,16,7,9.5,,
BETALL_GR_14,16,2,5,,
ALNINC_WM_5B,16,9,9,,
BETALL_WM_9,16,,,dead,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,