"spp","year","site","ind","plot","budburst","flowers","leafout","flobuds","flobudburst","fruit","ripefruit","budset","provenance.lat","provenance.long"
"ACEPEN",2018,"HF","12","12",110,NA,131,128,135,145,NA,NA,42.531705,-72.18992
"ACEPEN",2018,"HF","12","5",NA,149,151,135,142,151,NA,NA,42.531705,-72.18992
"ACEPEN",2018,"WM","5","2",103,142,131,NA,128,NA,NA,260,44.112337,-71.230138
"ACEPEN",2018,"WM","5","5",103,NA,131,NA,NA,NA,NA,NA,44.112337,-71.230138
"ACEPEN",2019,"HF","12","12",97,140,123,NA,NA,140,228,NA,42.531705,-72.18992
"ACEPEN",2019,"WM","5","2",NA,NA,NA,NA,NA,NA,NA,240,44.112337,-71.230138
"ACEPEN",2019,"WM","5","5",97,NA,123,NA,NA,NA,NA,260,44.112337,-71.230138
"ACEPEN",2020,"HF","12","12",NA,NA,143,NA,NA,NA,287.5,282,42.531705,-72.18992
"ACEPEN",2020,"HF","12","2",NA,NA,NA,NA,NA,NA,NA,NA,42.531705,-72.18992
"ACEPEN",2020,"HF","12","3",NA,NA,NA,NA,NA,NA,NA,NA,42.531705,-72.18992
"ACEPEN",2020,"HF","12","5",NA,NA,NA,NA,NA,NA,NA,NA,42.531705,-72.18992
"ACEPEN",2020,"HF","12","6",NA,NA,NA,NA,NA,NA,NA,NA,42.531705,-72.18992
"ACEPEN",2020,"WM","5","12",NA,NA,NA,NA,NA,NA,NA,NA,44.112337,-71.230138
"ACEPEN",2020,"WM","5","2",NA,NA,NA,NA,NA,NA,NA,NA,44.112337,-71.230138
"ACEPEN",2020,"WM","5","5",98,143,135,NA,NA,NA,NA,275,44.112337,-71.230138
"ACEPEN",2020,"WM","5","6",NA,NA,NA,NA,NA,NA,NA,NA,44.112337,-71.230138
"ACEPEN",2020,"WM","5","9",NA,NA,133,NA,NA,NA,NA,NA,44.112337,-71.230138
"ACESPI",2018,"GR","4","10",103,NA,124,NA,NA,NA,NA,NA,44.794942,-71.146683
"ACESPI",2018,"GR","4","7",103,NA,124,NA,NA,NA,NA,NA,44.794942,-71.146683
"ACESPI",2018,"SH","2","7",110,NA,138,NA,NA,NA,NA,NA,45.932675,-74.02507
"ACESPI",2018,"WM","1","7",103,NA,124,NA,NA,NA,NA,NA,44.112337,-71.230138
"ACESPI",2019,"GR","4","10",107,NA,145,NA,NA,NA,NA,260,44.794942,-71.146683
"ACESPI",2019,"GR","4","7",NA,147,112,112,NA,155,NA,NA,44.794942,-71.146683
"ACESPI",2019,"GR","6","7",NA,NA,NA,NA,NA,NA,214,NA,44.794942,-71.146683
"ACESPI",2019,"WM","1","7",NA,NA,147,NA,NA,NA,NA,NA,44.112337,-71.230138
"ACESPI",2020,"GR","4","10",NA,NA,NA,NA,NA,NA,NA,NA,44.794942,-71.146683
"ACESPI",2020,"GR","4","7",100,148,130.5,NA,NA,NA,NA,NA,44.794942,-71.146683
"ACESPI",2020,"GR","6","7",NA,NA,NA,NA,NA,NA,NA,NA,44.794942,-71.146683
"ACESPI",2020,"GR","8","7",NA,NA,NA,NA,NA,NA,NA,NA,44.794942,-71.146683
"ACESPI",2020,"SH","2","7",NA,NA,NA,NA,NA,NA,NA,268,45.932675,-74.02507
"ACESPI",2020,"SH","2A","10",NA,NA,NA,NA,NA,NA,NA,NA,45.932675,-74.02507
"ACESPI",2020,"SH","2B","10",NA,NA,NA,NA,NA,NA,NA,NA,45.932675,-74.02507
"ACESPI",2020,"SH","9","10",NA,NA,NA,NA,NA,NA,NA,NA,45.932675,-74.02507
"ACESPI",2020,"WM","1","7",NA,NA,NA,NA,NA,NA,NA,NA,44.112337,-71.230138
"ALNINC",2018,"GR","1","3",107,NA,124,NA,NA,NA,NA,289,44.794942,-71.146683
"ALNINC",2018,"GR","1","5",103,NA,128,NA,NA,NA,NA,278,44.794942,-71.146683
"ALNINC",2018,"GR","11","1",107,NA,124,NA,NA,NA,NA,274,44.794942,-71.146683
"ALNINC",2018,"GR","11","15",103,NA,124,NA,NA,NA,NA,268,44.794942,-71.146683
"ALNINC",2018,"GR","11A","3",103,NA,124,NA,NA,NA,NA,274,44.794942,-71.146683
"ALNINC",2018,"GR","11B","3",103,NA,124,NA,NA,NA,NA,274,44.794942,-71.146683
"ALNINC",2018,"GR","8","16",NA,NA,142,NA,NA,NA,NA,246,44.794942,-71.146683
"ALNINC",2018,"GR","8","3",107,NA,124,NA,NA,NA,NA,274,44.794942,-71.146683
"ALNINC",2018,"GR","8A","5",114,NA,124,NA,NA,NA,NA,263,44.794942,-71.146683
"ALNINC",2018,"GR","8B","5",107,NA,124,NA,NA,NA,NA,282.5,44.794942,-71.146683
"ALNINC",2018,"HF","1","1",114,128,128,89,NA,151,200.125,297,42.531705,-72.18992
"ALNINC",2018,"HF","1","16",NA,NA,142,NA,NA,NA,NA,263,42.531705,-72.18992
"ALNINC",2018,"HF","2","1",114,NA,124,NA,NA,NA,200.555555555556,297,42.531705,-72.18992
"ALNINC",2018,"HF","5","6",110,82,128,58,121,151,NA,268,42.531705,-72.18992
"ALNINC",2018,"HF","8","12",110,101.5,124,58,NA,151,192.166666666667,285.5,42.531705,-72.18992
"ALNINC",2018,"HF","9","15",110,101.5,121,58,NA,151,190.428571428571,267,42.531705,-72.18992
"ALNINC",2018,"HF","9","2",110,110.333333333333,128,58,NA,149,197.181818181818,288,42.531705,-72.18992
"ALNINC",2018,"HF","9","6",114,NA,124,NA,NA,NA,NA,280,42.531705,-72.18992
"ALNINC",2018,"HF","9","9",110,108.5,128,58,89,156,182,278,42.531705,-72.18992
"ALNINC",2018,"SH","1","1",103,NA,124,NA,NA,NA,NA,277,45.932675,-74.02507
"ALNINC",2018,"SH","1","12",110,82,124,NA,58,151,187.2,275.5,45.932675,-74.02507
"ALNINC",2018,"SH","3","16",NA,NA,142,NA,NA,NA,NA,275.5,45.932675,-74.02507
"ALNINC",2018,"SH","4","15",110,NA,124,NA,NA,NA,NA,281,45.932675,-74.02507
"ALNINC",2018,"SH","4","2",107,111.333333333333,124,NA,58,149,197.181818181818,268.5,45.932675,-74.02507
"ALNINC",2018,"SH","5","2",114,NA,124,116,NA,NA,NA,265,45.932675,-74.02507
"ALNINC",2018,"SH","5","3",114,89,124,NA,NA,151,197.181818181818,281,45.932675,-74.02507
"ALNINC",2018,"SH","6","5",107,82,124,NA,58,NA,171.5,288,45.932675,-74.02507
"ALNINC",2018,"SH","8","9",103,NA,124,NA,NA,NA,NA,270,45.932675,-74.02507
"ALNINC",2018,"WM","1","1",114,NA,124,NA,NA,NA,NA,274,44.112337,-71.230138
"ALNINC",2018,"WM","2A","1",107,NA,124,NA,NA,NA,NA,270,44.112337,-71.230138
"ALNINC",2018,"WM","2B","1",103,88,124,58,64,NA,202.4,292.5,44.112337,-71.230138
"ALNINC",2018,"WM","5","1",114,NA,124,NA,NA,NA,NA,292.5,44.112337,-71.230138
"ALNINC",2018,"WM","5A","16",NA,NA,142,NA,NA,NA,NA,288,44.112337,-71.230138
"ALNINC",2018,"WM","5A","2",100,82,124,58,64,NA,NA,280,44.112337,-71.230138
"ALNINC",2018,"WM","5B","16",NA,NA,142,NA,NA,NA,NA,275.5,44.112337,-71.230138
"ALNINC",2018,"WM","5B","2",114,NA,128,NA,NA,NA,NA,275,44.112337,-71.230138
"ALNINC",2019,"GR","1","3",100,129,119,NA,NA,155,NA,274,44.794942,-71.146683
"ALNINC",2019,"GR","1","5",97,125,119,NA,NA,147,NA,263,44.794942,-71.146683
"ALNINC",2019,"GR","11","1",NA,NA,115,NA,NA,NA,NA,249,44.794942,-71.146683
"ALNINC",2019,"GR","11","15",93,NA,119,NA,NA,NA,NA,263,44.794942,-71.146683
"ALNINC",2019,"GR","11A","3",NA,NA,112,NA,NA,NA,NA,274,44.794942,-71.146683
"ALNINC",2019,"GR","11B","3",97,100,119,NA,86,214,NA,274,44.794942,-71.146683
"ALNINC",2019,"GR","8","16",97,NA,127,NA,NA,NA,NA,263,44.794942,-71.146683
"ALNINC",2019,"GR","8","3",97,123.5,119,NA,NA,150,221,274,44.794942,-71.146683
"ALNINC",2019,"GR","8A","5",107,103,129,NA,86,211,NA,274,44.794942,-71.146683
"ALNINC",2019,"GR","8B","5",97,119.5,119,NA,NA,142,228,263,44.794942,-71.146683
"ALNINC",2019,"HF","1","1",107,122.5,119,NA,86,147,NA,249,42.531705,-72.18992
"ALNINC",2019,"HF","1","16",107,100,119,86,NA,168,228,249,42.531705,-72.18992
"ALNINC",2019,"HF","2","1",107,125.333333333333,135.5,NA,NA,147,NA,249,42.531705,-72.18992
"ALNINC",2019,"HF","5","6",103,124.5,129,NA,NA,147,211,263,42.531705,-72.18992
"ALNINC",2019,"HF","8","12",103,127,127,NA,NA,147,221,263,42.531705,-72.18992
"ALNINC",2019,"HF","9","15",97,133.333333333333,119,NA,NA,142,211,253,42.531705,-72.18992
"ALNINC",2019,"HF","9","2",100,124.5,132,NA,86,147,228,253,42.531705,-72.18992
"ALNINC",2019,"HF","9","6",100,121,123,NA,86,147,232,253,42.531705,-72.18992
"ALNINC",2019,"HF","9","9",100,125,123,NA,NA,147,218,253,42.531705,-72.18992
"ALNINC",2019,"SH","1","1",93,NA,119,NA,NA,NA,NA,274,45.932675,-74.02507
"ALNINC",2019,"SH","1","12",103,121,123,74,NA,142,211,263,45.932675,-74.02507
"ALNINC",2019,"SH","3","16",97,128.5,119,NA,86,161,228,263,45.932675,-74.02507
"ALNINC",2019,"SH","4","15",97,100,115,NA,86,150,211,253,45.932675,-74.02507
"ALNINC",2019,"SH","4","2",NA,123.5,123,74,NA,147,186,NA,45.932675,-74.02507
"ALNINC",2019,"SH","5","2",97,123.5,129,NA,NA,147,218,260,45.932675,-74.02507
"ALNINC",2019,"SH","5","3",103,122,123,NA,NA,147,225,274,45.932675,-74.02507
"ALNINC",2019,"SH","6","5",97,121,112,74,NA,142,193,274,45.932675,-74.02507
"ALNINC",2019,"SH","8","9",103,123.5,129,86,NA,147,190,274,45.932675,-74.02507
"ALNINC",2019,"WM","1","1",100,147,123,NA,NA,147,NA,249,44.112337,-71.230138
"ALNINC",2019,"WM","2A","1",NA,100,112,74,NA,221,NA,253,44.112337,-71.230138
"ALNINC",2019,"WM","2B","1",103,123.5,119,74,NA,140,218,263,44.112337,-71.230138
"ALNINC",2019,"WM","5","1",97,100,112,NA,86,155,NA,274,44.112337,-71.230138
"ALNINC",2019,"WM","5A","16",NA,122,112,NA,NA,147,228,274,44.112337,-71.230138
"ALNINC",2019,"WM","5A","2",100,107,123,NA,NA,NA,221,253,44.112337,-71.230138
"ALNINC",2019,"WM","5B","16",97,103,123,NA,NA,161,228,274,44.112337,-71.230138
"ALNINC",2019,"WM","5B","2",103,123.5,119,NA,86,147,245,274,44.112337,-71.230138
"ALNINC",2020,"GR","1","3",98,NA,143,NA,NA,NA,275,282,44.794942,-71.146683
"ALNINC",2020,"GR","1","5",91,NA,148,NA,NA,NA,NA,282,44.794942,-71.146683
"ALNINC",2020,"GR","11","1",91,NA,154,NA,NA,NA,268,268,44.794942,-71.146683
"ALNINC",2020,"GR","11","15",NA,119,143,NA,NA,NA,NA,282,44.794942,-71.146683
"ALNINC",2020,"GR","11A","3",85,NA,154,NA,NA,NA,275,282,44.794942,-71.146683
"ALNINC",2020,"GR","11B","3",98,NA,148,NA,NA,NA,NA,282,44.794942,-71.146683
"ALNINC",2020,"GR","8","16",NA,NA,143,NA,NA,NA,275,282,44.794942,-71.146683
"ALNINC",2020,"GR","8","3",91,108,154,NA,NA,NA,NA,282,44.794942,-71.146683
"ALNINC",2020,"GR","8A","5",108,NA,154,NA,NA,NA,297,282,44.794942,-71.146683
"ALNINC",2020,"GR","8B","5",98,NA,154,NA,NA,NA,NA,282,44.794942,-71.146683
"ALNINC",2020,"HF","1","1",108,NA,133,NA,NA,NA,NA,282,42.531705,-72.18992
"ALNINC",2020,"HF","1","16",NA,NA,135,NA,NA,NA,268,282,42.531705,-72.18992
"ALNINC",2020,"HF","2","1",108,NA,143,NA,NA,NA,275,282,42.531705,-72.18992
"ALNINC",2020,"HF","5","6",100,NA,154,NA,NA,NA,293,282,42.531705,-72.18992
"ALNINC",2020,"HF","8","12",NA,NA,157,NA,NA,NA,NA,282,42.531705,-72.18992
"ALNINC",2020,"HF","9","15",NA,NA,154,NA,NA,NA,NA,282,42.531705,-72.18992
"ALNINC",2020,"HF","9","2",100,NA,154,NA,NA,NA,275,282,42.531705,-72.18992
"ALNINC",2020,"HF","9","6",98,NA,157,NA,NA,NA,293,282,42.531705,-72.18992
"ALNINC",2020,"HF","9","9",NA,NA,164,NA,NA,NA,280.5,282,42.531705,-72.18992
"ALNINC",2020,"SH","1","1",85,NA,154,NA,NA,NA,NA,NA,45.932675,-74.02507
"ALNINC",2020,"SH","1","12",NA,NA,143,NA,NA,NA,284,275,45.932675,-74.02507
"ALNINC",2020,"SH","3","16",NA,NA,157,NA,NA,NA,275,282,45.932675,-74.02507
"ALNINC",2020,"SH","4","15",NA,NA,154,NA,NA,NA,NA,275,45.932675,-74.02507
"ALNINC",2020,"SH","4","2",98,NA,157,NA,NA,NA,275,282,45.932675,-74.02507
"ALNINC",2020,"SH","5","2",91,NA,NA,NA,NA,NA,NA,282,45.932675,-74.02507
"ALNINC",2020,"SH","5","3",98,NA,139,NA,NA,NA,275,282,45.932675,-74.02507
"ALNINC",2020,"SH","6","5",85,NA,148,NA,NA,NA,NA,282,45.932675,-74.02507
"ALNINC",2020,"SH","8","9",NA,NA,NA,NA,NA,NA,NA,282,45.932675,-74.02507
"ALNINC",2020,"WM","1","1",108,NA,143,NA,NA,NA,NA,282,44.112337,-71.230138
"ALNINC",2020,"WM","2A","1",98,NA,154,NA,NA,NA,291.5,NA,44.112337,-71.230138
"ALNINC",2020,"WM","2B","1",98,NA,148,NA,NA,NA,301,282,44.112337,-71.230138
"ALNINC",2020,"WM","5","1",85,NA,148,NA,NA,NA,NA,282,44.112337,-71.230138
"ALNINC",2020,"WM","5A","16",NA,NA,148,NA,NA,NA,NA,282,44.112337,-71.230138
"ALNINC",2020,"WM","5A","2",98,NA,143,NA,NA,NA,NA,282,44.112337,-71.230138
"ALNINC",2020,"WM","5B","16",NA,NA,143,NA,NA,NA,NA,282,44.112337,-71.230138
"ALNINC",2020,"WM","5B","2",85,NA,NA,NA,NA,NA,275,282,44.112337,-71.230138
"AMECAN",2018,"GR","10","2",96,131,124,116,124,135,162.571428571429,NA,44.794942,-71.146683
"AMECAN",2018,"GR","10","6",103,131,124,116,124,135,164.5,NA,44.794942,-71.146683
"AMECAN",2018,"GR","10A","3",93,199.5,124,116,124,135,162.571428571429,NA,44.794942,-71.146683
"AMECAN",2018,"GR","10A","5",103,131,124,116,124,135,160.833333333333,NA,44.794942,-71.146683
"AMECAN",2018,"GR","10B","3",96,131,124,116,124,135,162.571428571429,NA,44.794942,-71.146683
"AMECAN",2018,"GR","10B","5",103,131,124,116,124,135,162.571428571429,NA,44.794942,-71.146683
"AMECAN",2018,"SH","2","6",110,NA,131,NA,NA,NA,NA,NA,45.932675,-74.02507
"AMECAN",2018,"SH","3","15",103,NA,124,NA,NA,NA,NA,NA,45.932675,-74.02507
"AMECAN",2018,"SH","4","5",96,131,124,116,124,135,164.5,NA,45.932675,-74.02507
"AMECAN",2018,"SH","4","6",103,NA,124,NA,NA,NA,NA,NA,45.932675,-74.02507
"AMECAN",2018,"WM","1","2",93,138,124,NA,NA,NA,NA,NA,44.112337,-71.230138
"AMECAN",2019,"GR","10","2",112,NA,135,NA,NA,NA,NA,253,44.794942,-71.146683
"AMECAN",2019,"GR","10","6",93,119,112,107,NA,140,NA,240,44.794942,-71.146683
"AMECAN",2019,"GR","10A","3",NA,123,112,NA,NA,140,NA,232,44.794942,-71.146683
"AMECAN",2019,"GR","10A","5",119,NA,135,NA,NA,NA,NA,240,44.794942,-71.146683
"AMECAN",2019,"GR","10B","3",93,127,112,NA,NA,140,NA,249,44.794942,-71.146683
"AMECAN",2019,"GR","10B","5",93,119,119,107,NA,135,NA,232,44.794942,-71.146683
"AMECAN",2019,"SH","2","6",NA,NA,155,NA,NA,NA,NA,NA,45.932675,-74.02507
"AMECAN",2019,"SH","3","15",93,119,112,107,NA,NA,NA,260,45.932675,-74.02507
"AMECAN",2019,"SH","4","5",93,119,112,107,NA,135,NA,260,45.932675,-74.02507
"AMECAN",2019,"SH","4","6",93,123,112,107,NA,140,NA,260,45.932675,-74.02507
"AMECAN",2019,"WM","1","2",97,NA,112,155,NA,NA,NA,256,44.112337,-71.230138
"AMECAN",2020,"GR","10","2",NA,NA,NA,NA,NA,NA,NA,282,44.794942,-71.146683
"AMECAN",2020,"GR","10","6",78,128,126,NA,NA,NA,NA,214,44.794942,-71.146683
"AMECAN",2020,"GR","10A","3",91,133,127.5,NA,NA,NA,NA,214,44.794942,-71.146683
"AMECAN",2020,"GR","10A","5",98,135,133,NA,NA,NA,NA,NA,44.794942,-71.146683
"AMECAN",2020,"GR","10B","3",91,133,127.5,NA,NA,NA,NA,214,44.794942,-71.146683
"AMECAN",2020,"GR","10B","5",91,133,130.5,NA,NA,NA,NA,NA,44.794942,-71.146683
"AMECAN",2020,"SH","2","6",NA,NA,NA,NA,NA,NA,NA,NA,45.932675,-74.02507
"AMECAN",2020,"SH","3","15",NA,133,133,NA,NA,NA,NA,268,45.932675,-74.02507
"AMECAN",2020,"SH","4","5",78,123.5,120.5,NA,NA,NA,NA,275,45.932675,-74.02507
"AMECAN",2020,"SH","4","6",78,119,126,NA,NA,NA,NA,255,45.932675,-74.02507
"AMECAN",2020,"WM","1","2",85,NA,119,NA,NA,NA,278.5,NA,44.112337,-71.230138
"AROMEL",2018,"HF","10","8",96,145,124,114,135,149,187,NA,42.531705,-72.18992
"AROMEL",2018,"HF","12","11",NA,142,135,NA,135,145,188.7,NA,42.531705,-72.18992
"AROMEL",2018,"HF","12","14",NA,145,135,NA,135,149,193.888888888889,NA,42.531705,-72.18992
"AROMEL",2018,"HF","13","14",NA,NA,135,NA,135,149,180.076923076923,NA,42.531705,-72.18992
"AROMEL",2018,"HF","4","8",100,145,124,114,135,149,187,NA,42.531705,-72.18992
"AROMEL",2018,"HF","8A","11",NA,145,135,NA,135,149,187,NA,42.531705,-72.18992
"AROMEL",2018,"HF","8B","11",NA,145,138,NA,128,149,187.875,NA,42.531705,-72.18992
"AROMEL",2018,"WM","15","4",96,145,124,121,124,149,NA,NA,44.112337,-71.230138
"AROMEL",2018,"WM","2","14",NA,145,135,NA,135,149,NA,NA,44.112337,-71.230138
"AROMEL",2018,"WM","2","4",100,145,124,121,131,149,182,NA,44.112337,-71.230138
"AROMEL",2018,"WM","5","11",96,145,124,124,135,149,192.25,NA,44.112337,-71.230138
"AROMEL",2018,"WM","5","4",NA,NA,135,NA,NA,NA,NA,NA,44.112337,-71.230138
"AROMEL",2018,"WM","7","8",96,149,124,121,135,151,187,NA,44.112337,-71.230138
"AROMEL",2019,"HF","10","8",93,142,119,107,NA,142,NA,249,42.531705,-72.18992
"AROMEL",2019,"HF","12","11",93,147,115,107,NA,147,NA,240,42.531705,-72.18992
"AROMEL",2019,"HF","12","14",93,142,115,107,NA,142,214,267,42.531705,-72.18992
"AROMEL",2019,"HF","13","14",93,142,115,107,NA,147,NA,249,42.531705,-72.18992
"AROMEL",2019,"HF","4","8",93,142,119,107,NA,142,NA,249,42.531705,-72.18992
"AROMEL",2019,"HF","8A","11",93,147,119,107,NA,147,NA,249,42.531705,-72.18992
"AROMEL",2019,"HF","8B","11",97,142,115,112,NA,147,NA,240,42.531705,-72.18992
"AROMEL",2019,"WM","15","4",97,142,129,107,NA,147,NA,256,44.112337,-71.230138
"AROMEL",2019,"WM","2","14",97,147,115,112,NA,150,NA,253,44.112337,-71.230138
"AROMEL",2019,"WM","2","4",93,147,129,115,NA,150,NA,245,44.112337,-71.230138
"AROMEL",2019,"WM","5","11",103,147,119,115,NA,NA,NA,249,44.112337,-71.230138
"AROMEL",2019,"WM","5","4",NA,NA,142,NA,NA,NA,NA,253,44.112337,-71.230138
"AROMEL",2019,"WM","7","8",93,142,115,107,NA,150,NA,249,44.112337,-71.230138
"AROMEL",2020,"HF","10","8",85,148,126,NA,NA,NA,296.75,268,42.531705,-72.18992
"AROMEL",2020,"HF","12","11",NA,148,133,NA,NA,NA,296.75,263,42.531705,-72.18992
"AROMEL",2020,"HF","12","14",NA,148,133,NA,NA,NA,296.75,263,42.531705,-72.18992
"AROMEL",2020,"HF","13","14",NA,148,133,NA,NA,NA,296.75,263,42.531705,-72.18992
"AROMEL",2020,"HF","4","4",NA,NA,NA,NA,NA,NA,NA,NA,42.531705,-72.18992
"AROMEL",2020,"HF","4","8",78,148,126,NA,NA,NA,298,275,42.531705,-72.18992
"AROMEL",2020,"HF","8A","11",NA,NA,133,NA,NA,NA,296.75,263,42.531705,-72.18992
"AROMEL",2020,"HF","8B","11",NA,NA,133,NA,NA,NA,NA,268,42.531705,-72.18992
"AROMEL",2020,"WM","15","4",78,NA,123.5,NA,NA,NA,NA,282,44.112337,-71.230138
"AROMEL",2020,"WM","2","14",NA,NA,133,NA,NA,NA,NA,248,44.112337,-71.230138
"AROMEL",2020,"WM","2","4",85,NA,127.5,NA,NA,NA,220,282,44.112337,-71.230138
"AROMEL",2020,"WM","5","11",NA,NA,133,NA,NA,NA,NA,282,44.112337,-71.230138
"AROMEL",2020,"WM","5","4",85,148,127.5,NA,NA,NA,NA,NA,44.112337,-71.230138
"AROMEL",2020,"WM","7","4",85,NA,108,NA,NA,NA,NA,NA,44.112337,-71.230138
"AROMEL",2020,"WM","7","8",85,NA,127.5,NA,NA,NA,NA,282,44.112337,-71.230138
"BETALL",2018,"GR","1","3",114,NA,128,NA,NA,NA,NA,253,44.794942,-71.146683
"BETALL",2018,"GR","12","1",114,NA,124,NA,NA,NA,NA,268,44.794942,-71.146683
"BETALL",2018,"GR","12","3",114,NA,124,NA,NA,NA,NA,281,44.794942,-71.146683
"BETALL",2018,"GR","13","1",114,NA,128,NA,NA,NA,NA,268,44.794942,-71.146683
"BETALL",2018,"GR","13","15",103,NA,131,NA,NA,NA,NA,253,44.794942,-71.146683
"BETALL",2018,"GR","13","2",114,NA,128,NA,NA,NA,NA,263,44.794942,-71.146683
"BETALL",2018,"GR","14","15",NA,NA,135,NA,NA,NA,NA,228.333333333333,44.794942,-71.146683
"BETALL",2018,"GR","14","16",NA,NA,142,NA,NA,NA,NA,225,44.794942,-71.146683
"BETALL",2018,"GR","9","3",114,NA,128,NA,NA,NA,NA,263,44.794942,-71.146683
"BETALL",2018,"SH","2","6",110,NA,124,NA,NA,NA,NA,263,45.932675,-74.02507
"BETALL",2018,"SH","4","3",103,NA,131,NA,NA,NA,NA,263,45.932675,-74.02507
"BETALL",2018,"SH","4A","9",103,NA,124,NA,NA,NA,NA,239,45.932675,-74.02507
"BETALL",2018,"SH","4B","9",107,NA,131,NA,NA,NA,NA,239,45.932675,-74.02507
"BETALL",2018,"SH","5","6",110,NA,131,NA,NA,NA,NA,263,45.932675,-74.02507
"BETALL",2018,"SH","5","9",NA,NA,135,NA,NA,NA,NA,232,45.932675,-74.02507
"BETALL",2018,"SH","7","16",NA,NA,142,NA,NA,NA,NA,239,45.932675,-74.02507
"BETALL",2018,"SH","9","6",114,NA,131,NA,NA,NA,NA,239,45.932675,-74.02507
"BETALL",2018,"SH","9","9",110,NA,128,NA,NA,NA,NA,239,45.932675,-74.02507
"BETALL",2018,"WM","8","1",114,NA,138,NA,NA,NA,NA,277,44.112337,-71.230138
