species.name,species,type,transect
Acer_pensylvanicum,acepen,tree,east
Acer_spicatum,acespi,tree,east
Alnus_incana,alninc,shrub,east
Amelanchier_canadensis,amecan,shrub,east
Aronia_melanocarpa,aromel,shrub,east
Betula_alleghaniensis,betall,tree,east
Betula_papyrifera,betpap,tree,east
Diervilla_lonicera,dielon,tree,east
Myrica_gale,myrgal,shrub,east
Quercus_alba,quealb,tree,east
Quercus_rubra,querub,tree,east
Sambucus_racemosa,samrac,shrub,east
Sorbus_americana,sorame,shrub,east
Spirea_albus,spialb,shrub,east
Spirea_tomentosa,spitom,shrub,east
Vaccinium_myrtilloides,vacmyr,shrub,east
Viburnum_cassinoides,viblan,shrub,east
Betula_populifolia,betpop,tree,east